"Speaker","Utterance"
"dialogue_id:"," 57_00116"
"USER","""Find me round trip flights out of LAX."""
"SYSTEM","""What day are you departing?"""
"USER","""I am departing on the 5th."""
"SYSTEM","""Where are you going and when are you returning?"""
"USER","""I will be visiting ATL and returning on the 11th of this month."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-05, destination_city: Atlanta, origin_city: Los Angeles, return_date: 2019-03-11 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-05, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 16:29, inbound_departure_time: 14:30, number_stops: 0, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 01:24, outbound_departure_time: 17:25, passengers: 1, price: 179, refundable: False, return_date: 2019-03-11, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-05, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 19:39, inbound_departure_time: 17:40, number_stops: 0, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 17:19, outbound_departure_time: 09:20, passengers: 1, price: 202, refundable: False, return_date: 2019-03-11, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I found an American Airlines flight that costs $179. The first flight departs at 5:25 pm and the second flight departs at 2:30 pm."""
"USER","""That works for me."""
"SYSTEM","""Shall I get tickets for you?"""
"USER","""Yes, book me plane tickets."""
"SYSTEM","""You want 1 Economy ticket on American Airlines flying from Los Angeles to Atlanta. The departure flight leaves at 5:25 pm on March 5th and the return flight leaves at 2:30 pm on March 11th. Is that right?"""
"USER","""That is correct."""
"SYSTEM","APICall(method='ReserveRoundtripFlights', parameters={ airlines: American Airlines, departure_date: 2019-03-05, destination_city: Atlanta, inbound_departure_time: 14:30, origin_city: Los Angeles, outbound_departure_time: 17:25, passengers: 1, return_date: 2019-03-11, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-05, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 16:29, inbound_departure_time: 14:30, number_stops: 0, origin_airport: LAX International Airport, origin_city: Los Angeles, outbound_arrival_time: 01:24, outbound_departure_time: 17:25, passengers: 1, price: 179, refundable: False, return_date: 2019-03-11, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""Your flight has been booked."""
"USER","""Thanks a lot. Can you some child-friendly attractions I can do while there?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ good_for_kids: True, location: Atlanta })"
"Tool","""Search Results\n[{ attraction_name: Atlanta Botanical Garden, category: Park, free_entry: False, good_for_kids: True, location: Atlanta, phone_number: 404-876-5859 }, { attraction_name: Atlanta History Center, category: Museum, free_entry: False, good_for_kids: True, location: Atlanta, phone_number: 404-814-4000 }]\nEnd Search Results"""
"SYSTEM","""Atlanta Botanical Garden is a Park."""
"USER","""How can I get in contact with them?"""
"SYSTEM","""You can reach them at 404-876-5859."""
"USER","""That is great."""
"SYSTEM","""Do you need something more?"""
"USER","""No, that is all. Thanks for the help."""
"SYSTEM","""Have a great time."""
