"Speaker","Utterance"
"dialogue_id:"," 99_00092"
"USER","""I'm looking for a fantasy movie at Century Oakridge."""
"SYSTEM","""Which city?"""
"USER","""San Jose."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Fantasy, location: San Jose, theater_name: Century 20 Oakridge & XD })"
"Tool","""Search Results\n[{ genre: Fantasy, location: San Jose, movie_name: Dumbo, price: 7, show_type: regular, street_address: 925 Blossom Hill Road Suite 2000, theater_name: Century 20 Oakridge & XD }, { genre: Fantasy, location: San Jose, movie_name: Hellboy, price: 11, show_type: regular, street_address: 925 Blossom Hill Road Suite 2000, theater_name: Century 20 Oakridge & XD }]\nEnd Search Results"""
"SYSTEM","""I found 2 movies matching this, Dumbo and Hellboy."""
"USER","""Anything else? I like comic movies, preferably 3d."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Comedy, location: San Jose, show_type: 3d, theater_name: Century 20 Oakridge & XD })"
"Tool","""Search Results\n[{ genre: Comedy, location: San Jose, movie_name: Little, price: 23, show_type: 3d, street_address: 925 Blossom Hill Road Suite 2000, theater_name: Century 20 Oakridge & XD }]\nEnd Search Results"""
"SYSTEM","""There's Little."""
"USER","""Find something else."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Comedy, location: San Jose, show_type: 3d, theater_name: Century 20 Oakridge & XD })"
"Tool","""Search Results\n[]\nEnd Search Results"""
"SYSTEM","""I can't find any other matches to your query. Can I help with something else?"""
"USER","""Try again, look at West Wind Capitol Drive-In. Any kind of movie is fine."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Comedy, location: San Jose, theater_name: West Wind Capitol Drive-In })"
"Tool","""Search Results\n[{ genre: Comedy, location: San Jose, movie_name: A Madea Family Funeral, price: 10, show_type: regular, street_address: 3630 Hillcap Avenue, theater_name: West Wind Capitol Drive-In }]\nEnd Search Results"""
"SYSTEM","""There's A Madea Family Funeral."""
"USER","""Family Funeral sounds great."""
"SYSTEM","""Do you want tickets?"""
"USER","""No, not now. I'm looking for something interesting to do out there."""
"SYSTEM","""Any kind of event category you prefer, like music or sports?"""
"USER","""Sports, I love football."""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Sports, city_of_event: San Jose, subcategory: Football })"
"Tool","""Search Results\n[{ address_of_location: 1145 Coleman Avenue, category: Sports, city_of_event: San Jose, date: 2019-03-03, event_location: Avaya Stadium, event_name: Cruz Azul Vs Atlas, subcategory: Football, time: 18:30 }]\nEnd Search Results"""
"SYSTEM","""I found 1 match. Cruz Azul vs Atlas will be at Avaya Stadium on March 3rd at 6:30 pm."""
"USER","""Sounds great."""
"SYSTEM","""Do you want tickets?"""
"USER","""Not now."""
"SYSTEM","""Anything else you need?"""
"USER","""No, thanks though."""
"SYSTEM","""Have a nice day."""
