"Speaker","Utterance"
"dialogue_id:"," 90_00110"
"USER","""How will be the weather in SD on March 7th?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: San Diego, date: 2019-03-07 })"
"Tool","""Search Results\n[{ city: San Diego, date: 2019-03-07, humidity: 36, precipitation: 17, temperature: 90, wind: 8 }]\nEnd Search Results"""
"SYSTEM","""90 degree Fahrenheit average temperature with 17 percent chance of rain."""
"USER","""Are there any natural spot there especially children are fond of?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ category: Nature Preserve, good_for_kids: True, location: San Diego })"
"Tool","""Search Results\n[{ attraction_name: Birch Aquarium at Scripps Institution of Oceanography, category: Nature Preserve, free_entry: True, good_for_kids: True, location: San Diego, phone_number: 858-534-3474 }, { attraction_name: Old Town San Diego State Historic Park, category: Nature Preserve, free_entry: False, good_for_kids: True, location: San Diego, phone_number: 619-220-5422 }]\nEnd Search Results"""
"SYSTEM","""Birch Aquarium at Scripps Institution of Oceanography is one among 3 there, which is a Nature Preserve."""
"USER","""Can I contact them via phone?"""
"SYSTEM","""Yes, you can make ring at 858-534-3474"""
"USER","""Can you arrange a Pool ride cab for me?"""
"SYSTEM","""How many persons?"""
"USER","""Just for one person."""
"SYSTEM","""Ok, you demanded 1 seat in Pool ride to Birch Aquarium at Scripps Institution of Oceanography, correct?"""
"USER","""please change it to Regular ride for three persons."""
"SYSTEM","""Please verify, 3 seats in Regular ride."""
"USER","""Great, how much should I pay?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Birch Aquarium at Scripps Institution of Oceanography, number_of_seats: 3, ride_type: Regular })"
"Tool","""Search Results\n[{ destination: Birch Aquarium at Scripps Institution of Oceanography, number_of_seats: 3, ride_fare: 40.05, ride_type: Regular, wait_time: 5 }]\nEnd Search Results"""
"SYSTEM","""It will cost $40.05 and the cab is arriving in short time."""
"USER","""Great, thanks for the help."""
"SYSTEM","""Great day, sir."""
