"Speaker","Utterance"
"dialogue_id:"," 102_00066"
"USER","""I want to visit some attractions"""
"SYSTEM","""In which city do you prefer?"""
"USER","""I want to visit some attractions in Los Angeles"""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: Los Angeles })"
"Tool","""Search Results\n[{ attraction_name: Angels Flight Railway, category: Historical Landmark, free_entry: False, good_for_kids: False, location: Los Angeles, phone_number: 213-626-1901 }, { attraction_name: Autry Museum of the American West, category: Museum, free_entry: True, good_for_kids: True, location: Los Angeles, phone_number: 323-667-2000 }]\nEnd Search Results"""
"SYSTEM","""I found 10 attractions. What about Angels Flight Railway? It's a Historical Landmark"""
"USER","""Yes, It works for me. Am I free that day?"""
"SYSTEM","""Which day are you referring to?"""
"USER","""On 13th of this month"""
"SYSTEM","APICall(method='GetAvailableTime', parameters={ event_date: 2019-03-13 })"
"Tool","""Search Results\n[{ available_end_time: 21:00, available_start_time: 18:45, event_date: 2019-03-13 }]\nEnd Search Results"""
"SYSTEM","""On March 13th you're free from 6:45 pm till 9 pm"""
"USER","""Ok, It's fine!"""
"SYSTEM","""Should I add an event?"""
"USER","""Not now, thanks."""
"SYSTEM","""Do you need anything else?"""
"USER","""Yes, I need a cab to go there"""
"SYSTEM","""How many seats do you want to book?"""
"USER","""Only one seats"""
"SYSTEM","""Is a shared race ok too?"""
"USER","""Yes, It's fine for me."""
"SYSTEM","""A cab for 1 people in a shared ride, to go to Angels Flight Railway. Is it correct?"""
"USER","""Yes, It's correct, thanks!"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Angels Flight Railway, number_of_riders: 1, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 27, destination: Angels Flight Railway, number_of_riders: 1, ride_fare: 16.86, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""Your cab is coming!"""
"USER","""Thank you so much!"""
"SYSTEM","""Can I do anything else for you?"""
"USER","""No, thanks. It's all for today"""
"SYSTEM","""Have a nice day!"""
