"Speaker","Utterance"
"dialogue_id:"," 125_00052"
"USER","""Check for me events on my calendar."""
"SYSTEM","""On what date you want?"""
"USER","""On 4th of this month will be okay."""
"SYSTEM","APICall(method='GetEvents', parameters={ event_date: 2019-03-04 })"
"Tool","""Search Results\n[{ event_date: 2019-03-04, event_location: 1517 21st Street, event_name: Yunger concert, event_time: 19:30 }]\nEnd Search Results"""
"SYSTEM","""You have an event called Yunger concert that starts at 7:30 pm."""
"USER","""Sounds great.I want a cab and a shared ride to go there."""
"SYSTEM","""for how many people is the cab?"""
"USER","""For three people will be the cab."""
"SYSTEM","""1517 21st Street is the address?"""
"USER","""Yes that's it."""
"SYSTEM","""You need to go at 1517 21st Street and you want a shared ride for 3 people.Is that okay?"""
"USER","""Yes,perfect but I also need to know how long will be the ride and the cost that I have to pay for it."""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 1517 21st Street, number_of_riders: 3, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 27, destination: 1517 21st Street, number_of_riders: 3, ride_fare: 30.02, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""Ride was booked for you.Will cost $30.02 and will last about 27 minutes."""
"USER","""Thank you for your he"""
"SYSTEM","""Can I help you with something else?"""
"USER","""No. You've helped me already."""
"SYSTEM","""Have a good day!"""
