"Speaker","Utterance"
"dialogue_id:"," 118_00010"
"USER","""I need a rental car until the 7th of this month. I'd like to pick it up at 2 o""clock in the afternoon."""
"SYSTEM","""What day do you want to start your rental?"""
"USER","""I need it on the 4th of this month."""
"SYSTEM","""Where would you like to pick the car up?"""
"USER","""I'll be in Washington."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-07, pickup_city: Washington, pickup_date: 2019-03-04, pickup_time: 14:00 })"
"Tool","""Search Results\n[{ car_name: Honda Accord, car_type: Standard, dropoff_date: 2019-03-07, pickup_city: Washington, pickup_date: 2019-03-04, pickup_location: Union Station, pickup_time: 14:00, total_price: 102 }, { car_name: Honda Civic, car_type: Standard, dropoff_date: 2019-03-07, pickup_city: Washington, pickup_date: 2019-03-04, pickup_location: Union Station, pickup_time: 14:00, total_price: 93 }]\nEnd Search Results"""
"SYSTEM","""I have 4 cars for review. There's a Honda Accord available at Union Station on March 4th. That's a standard car."""
"USER","""What's the total for that one?"""
"SYSTEM","""Your reservation will be $102 altogether."""
"USER","""That sounds good."""
"SYSTEM","""Do you want to reserve it now?"""
"USER","""No, not now."""
"SYSTEM","""Is there anything else I can do for you?"""
"USER","""What's available for a bus going there? I'll be leaving from NY. I need arrangements for 2 people."""
"SYSTEM","""When do you want to leave?"""
"USER","""We will be leaving this Sunday."""
"SYSTEM","APICall(method='FindBus', parameters={ departure_date: 2019-03-03, destination: Washington, group_size: 2, origin: New York })"
"Tool","""Search Results\n[{ departure_date: 2019-03-03, departure_time: 06:00, destination: Washington, destination_station_name: Union Station, fare_type: Economy, group_size: 2, origin: New York, origin_station_name: Port Authority Station, price: 36 }, { departure_date: 2019-03-03, departure_time: 09:40, destination: Washington, destination_station_name: Union Station, fare_type: Economy, group_size: 2, origin: New York, origin_station_name: Port Authority Station, price: 38 }]\nEnd Search Results"""
"SYSTEM","""I have a bus leaving at 6 am for $36. That's an economy ticket."""
"USER","""What else is available?"""
"SYSTEM","""I have another one leaving at 9:40 am. The economy ticket costs $38."""
"USER","""What bus station does that leave from? What station does it arrive at?"""
"SYSTEM","""The bus leaves from Union Station and arrives at Port Authority Station."""
"USER","""Okay. What about a round trip flight to get there?"""
"SYSTEM","""Will you be leaving March 4th and returning March 7th?"""
"USER","""I want to leave on the 1st and return on the 13th of March."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-01, destination: Washington, origin: New York, passengers: 2, return_date: 2019-03-13 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-01, destination: Washington, destination_airport: Dulles International Airport, fare: 92, inbound_arrival_time: 07:15, inbound_departure_time: 06:05, is_redeye: False, number_stops: 0, origin: New York, origin_airport: JFK International Airport, outbound_arrival_time: 12:05, outbound_departure_time: 10:55, passengers: 2, return_date: 2019-03-13, seating_class: Economy }, { airlines: Southwest Airlines, departure_date: 2019-03-01, destination: Washington, destination_airport: Dulles International Airport, fare: 101, inbound_arrival_time: 18:00, inbound_departure_time: 16:50, is_redeye: False, number_stops: 0, origin: New York, origin_airport: JFK International Airport, outbound_arrival_time: 18:25, outbound_departure_time: 17:15, passengers: 2, return_date: 2019-03-13, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I have 2 flights for you. American Airlines has a flight leaving at 10:55 am for $92. How about that one? The return flight leaves at 6:05 am."""
"USER","""Okay, that's fine."""
"SYSTEM","""Is there anything else I can do for you?"""
"USER","""No, that's all. Thanks."""
"SYSTEM","""Have a great day."""
