"Speaker","Utterance"
"dialogue_id:"," 24_00100"
"USER","""I need you to make a payment to Mary."""
"SYSTEM","""Where would you like me to take the money from?"""
"USER","""Use my checking account."""
"SYSTEM","""How much would you like to pay?"""
"USER","""Make the amount one hundred and thirty four dollars."""
"SYSTEM","""You are requesting a public transaction be made by paying Mary $134 on your debit card, is this correct?"""
"USER","""Yes it is correct."""
"SYSTEM","APICall(method='MakePayment', parameters={ amount: 134, payment_method: debit card, private_visibility: False, receiver: Mary })"
"Tool","""Search Results\n[{ amount: 134, payment_method: debit card, private_visibility: False, receiver: Mary }]\nEnd Search Results"""
"SYSTEM","""The payment should be visible to Mary shortly because the money went through."""
"USER","""I want to find a place that serves pricey Burgers can you locate one for me please?"""
"SYSTEM","""Where should I look?"""
"USER","""I want to eat in SF."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Steakhouse, location: San Francisco, price_range: pricey })"
"Tool","""Search Results\n[{ address: 244 Jackson Street, category: Steakhouse, has_seating_outdoors: False, has_vegetarian_options: True, location: San Francisco, phone_number: 415-989-2539, price_range: pricey, rating: 4.30, restaurant_name: 5a5 Steak Lounge }, { address: 1450 Lombard Street, category: Steakhouse, has_seating_outdoors: False, has_vegetarian_options: False, location: San Francisco, phone_number: 415-441-8880, price_range: pricey, rating: 4.20, restaurant_name: Bobo's }]\nEnd Search Results"""
"SYSTEM","""So far I located 6 places in San Francisco one of which is 5a5 Steak Lounge."""
"USER","""Is there one you think I would like more than the others?"""
"SYSTEM","""Bobo's is in San Francisco you could try that."""
"USER","""I think I will."""
"SYSTEM","""Should I book you a table there?"""
"USER","""Definitely make it for 4 persons."""
"SYSTEM","""Do you have a preferred time for that?"""
"USER","""Yes make it for the afternoon 1."""
"SYSTEM","""I have a table for 4 at 1 pm on March 1st at Bobo's in San Francisco is that what you want?"""
"USER","""No, I only need the table of 2 now."""
"SYSTEM","""Alright the rest stand and make it March 1st for 2 persons?"""
"USER","""Yes that is correct and I want the address and phone number also."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-01, location: San Francisco, number_of_seats: 2, restaurant_name: Bobo's, time: 13:00 })"
"Tool","""Search Results\n[{ address: 1450 Lombard Street, category: Steakhouse, date: 2019-03-01, has_seating_outdoors: False, has_vegetarian_options: False, location: San Francisco, number_of_seats: 2, phone_number: 415-441-8880, price_range: pricey, rating: 4.20, restaurant_name: Bobo's, time: 13:00 }]\nEnd Search Results"""
"SYSTEM","""There location is 1450 Lombard Street and the number is 415-441-8880."""
"USER","""Many thanks to you."""
"SYSTEM","""Will you be needing any more assistance?"""
"USER","""Not right away, thanks you can go now."""
"SYSTEM","""Have a happy day."""
