,aggregate_rating,director,genre,starring,title
0,6.90,Michael Schultz,Action,Faith Prince,The Last Dragon
1,7.40,Cameron Crowe,Romance,Joan Cusack,Say Anything
2,7.10,Jia Zhangke,Crime,Casper Liang,Ash Is Purest White
3,6.20,Iain Softley,Drama,John Bair,Hackers
4,5.40,Harry Elfont,Comedy,Alexander Martin,Josie and the Pussycats
5,6.40,George Sidney,Romance,Teri Garr,Viva Las Vegas
6,7.00,Robin Bissell,Drama,Caitlin Mehner,The Best of Enemies
7,7.60,David Sandberg,Adventure,Mark Strong,Shazam!
8,5.90,Nia DaCosta,Drama,Luci Christian,Little Woods
9,7.50,Alfred Hitchcock,Drama,Alex Frazer,The Man Who Knew Too Much
10,6.10,Justin Kelly,Biographical,Will Woytowich,JT LeRoy
11,6.60,Laszlo Nemes,Drama,Judit Bardos,Sunset
12,7.40,Elaine May,Mafia,John Cassavetes,Mikey and Nicky
13,5.40,Neil Marshall,Fantasy,David Harbour,Hellboy
14,8.10,George Miller,Fantasy,Gillian Jones,Mad Max: Fury Road
15,7.10,Anna Boden,Adventure,Lashana Lynch,Captain Marvel
16,8.30,Orson Welles,Mystery,Georgia Backus,Citizen Kane
17,7.60,Joel Coen,Adventure,Nicholas Sadler,True Grit
18,7.50,Laure de Clermont-Tonnerre,Drama,Keith Johnson,The Mustang
19,8.40,Stanley Kubrick,Comedy,Frank Berry,Dr. Strangelove
20,8.30,Peter Farrelly,Comedy,Mahershala Ali,Green Book
21,5.80,Garth Davis,Drama,Uri Gavriel,Mary Magdalene
22,6.30,James Kent,War,Flora Thiemann,The Aftermath
23,6.60,Tim Burton,Fantasy,Douglas Reith,Dumbo
24,7.70,Dean DeBlois,Animation,James Sie,How to Train Your Dragon: The Hidden World
25,5.60,Roxann Dawson,Biographical,Dennis Haysbert,Breakthrough
26,7.00,Chris Butler,Comedy,David Walliams,Missing Link
27,5.20,Rachel Lears,Documentary,Alexandria Ocasio-Cortez,Knock Down The House
28,6.20,Max Minghella,Musical,Antonia Clarke,Teen Spirit
29,7.00,Christian Petzold,Drama,Justus von Dohnanyi,Transit
30,7.20,Martin Scorsese,Biographical,Keith Richards,Shine a Light
31,8.40,Stanley Kubrick,Comedy,Gordon Tanner,Dr. Strangelove
32,5.80,Jenny Gage,Romance,Jose Alfredo Fernandez,After
33,7.50,Michael Gordon,Romance,Arlen Stuart,Pillow Talk
34,7.70,Tom McCarthy,Romance,Danai Gurira,The Visitor
35,7.00,Robin Bissell,Drama,Taraji P. Henson,The Best of Enemies
36,7.10,Claus Rafle,Documentary,Florian Lukas,The Invisibles
37,7.70,Likarion Wainaina,Drama,Mercy Kariuki,Supa Modo
38,7.30,Matteo Garrone,Drama,Giancarlo Porcacchia,Dogman
39,6.00,Madeleine Olnek,Drama,David Albiero,Wild Nights with Emily
40,5.90,Michael Chaves,Horror,Roman Christou,The Curse of La Llorona
41,7.10,Ronald Neame,Adventure,Stella Stevens,The Poseidon Adventure
42,4.10,Qui Sheng,Drama,Huang Lu,Suburban Birds
43,4.20,Tyler Perry,Comedy,Aeriel Miranda,A Madea Family Funeral
44,8.00,Morton DaCosta,Comedy,Terry Kelman,Auntie Mame
45,5.80,Laura Steinel,Comedy,Joseph Poliquin,Family
46,6.70,Sebastian Lelio,Comedy,Alanna Ubach,Gloria Bell
47,5.40,Tina Gordon,Comedy,Palmer Williams Jr.,Little
48,6.60,Jonathan Levine,Comedy,Tristan D. Lalla,Long Shot
49,6.60,Jonathan Levine,Comedy,O'Shea Jackson Jr.,Long Shot
50,6.20,Claire Denis,Drama,Agata Buzek,High Life
51,6.80,Eric Khoo,Drama,Tsuyoshi Ihara,Ramen Shop
52,6.20,Trevor Nunn,Drama,Stephen Boxer,Red Joan
53,7.50,Alfred Hitchcock,Drama,Alix Talton,The Man Who Knew Too Much
54,7.30,Hiroyasu Ishida,Fantasy,Kana Kita,Penguin Highway
55,7.00,Alfred Hitchcock,Crime,Donald Calthrop,Blackmail - Cinemix Par Chloe
56,7.50,Stephen Merchant,Sports,Zelina Vega,Fighting with My Family
57,7.70,Tom McCarthy,Romance,Haaz Sleiman,The Visitor
58,6.20,Simon Jaquemet,Drama,Christian Kaiser,The Innocent
59,7.40,Robert Budreau,Comedy,Shanti Roney,Stockholm
60,6.50,Neil Burger,Comedy,Junnie Lopez,The Upside
61,6.20,Kevin Kolsch,Thriller,Sonia Maria Chirila,Pet Sematary
62,6.20,Iain Softley,Drama,Jeff Harding,Hackers
63,7.80,Anthony Maras,Thriller,Dev Patel,Hotel Mumbai
64,7.50,Alfred Hitchcock,Drama,Gladys Holland,The Man Who Knew Too Much
65,7.00,Robin Bissell,Drama,Sam Rockwell,The Best of Enemies
66,8.00,Morton DaCosta,Comedy,Patric Knowles,Auntie Mame
67,8.20,Malik Bendjelloul,Biographical,Dennis Coffey,Searching for Sugar Man
68,7.40,Elaine May,Mafia,Rose Arrick,Mikey and Nicky
69,6.80,Brian De Palma,Mystery,Melissa Christian,Body Double
70,6.30,James Kent,War,Frederick Preston,The Aftermath
71,5.40,Harry Elfont,Comedy,Harmoni Everett,Josie and the Pussycats
72,5.60,Roxann Dawson,Biographical,Mike Colter,Breakthrough
73,7.70,Tom McCarthy,Romance,Michael Cumpsty,The Visitor
74,5.40,Harry Elfont,Comedy,Shayn Solberg,Josie and the Pussycats
75,7.70,Tom McCarthy,Romance,Jacqueline Brogan,The Visitor
76,6.60,Tim Burton,Fantasy,Alan Arkin,Dumbo
77,7.70,Tom McCarthy,Romance,Walter the Dog,The Visitor
78,7.10,Jia Zhangke,Crime,Yi Zhang,Ash Is Purest White
79,7.70,Tom McCarthy,Romance,Walter Mudu,The Visitor
80,7.10,Ronald Neame,Adventure,Byron Webster,The Poseidon Adventure
81,7.50,Alfred Hitchcock,Drama,Peter Camlin,The Man Who Knew Too Much
82,5.90,Nia DaCosta,Drama,Jeremy St. James,Little Woods
83,7.50,Alfred Hitchcock,Drama,Edward Manouk,The Man Who Knew Too Much
84,6.20,Iain Softley,Drama,Annemarie Lawless,Hackers
85,7.30,Matteo Garrone,Drama,Gianluca Gobbi,Dogman
86,6.20,Kevin Kolsch,Thriller,Jacob Lemieux,Pet Sematary
87,5.40,Harry Elfont,Comedy,Corinne Reilly,Josie and the Pussycats
88,8.00,Morton DaCosta,Comedy,Rand Harper,Auntie Mame
89,6.20,Iain Softley,Drama,Don Hewitt,Hackers
90,5.40,Harry Elfont,Comedy,Carson Daly,Josie and the Pussycats
91,7.70,Tom McCarthy,Romance,Brother Eden Douglas,The Visitor
92,7.40,Cameron Crowe,Romance,Glenn Walker Harris Jr.,Say Anything
93,5.80,Jenny Gage,Romance,Khadijha Red Thunder,After
94,5.90,Michael Chaves,Horror,Sean Patrick Thomas,The Curse of La Llorona
95,6.80,Brian De Palma,Mystery,Craig Wasson,Body Double
96,5.80,Garth Davis,Drama,Irit Sheleg,Mary Magdalene
97,6.20,Kevin Kolsch,Thriller,Lucas Lavoie,Pet Sematary
98,7.40,Cameron Crowe,Romance,Joanna Frank,Say Anything
99,6.20,Iain Softley,Drama,Mitchell Nguyen-McCormick,Hackers
100,6.80,Brian De Palma,Mystery,Chuck Waters,Body Double
101,7.20,Martin Scorsese,Biographical,Michael Gross,Shine a Light
102,8.00,Morton DaCosta,Comedy,Michael Harris,Auntie Mame
103,5.90,Nia DaCosta,Drama,James Badge Dale,Little Woods
104,7.60,David Sandberg,Adventure,Cooper Andrews,Shazam!
105,5.90,Nia DaCosta,Drama,Charlie Ray Reid,Little Woods
106,4.20,Tyler Perry,Comedy,Derek Morgan,A Madea Family Funeral
107,7.50,Michael Gordon,Romance,Julia Meade,Pillow Talk
108,6.20,Trevor Nunn,Drama,Phillip Langhorne,Red Joan
109,8.30,Peter Farrelly,Comedy,Dimiter Marinov,Green Book
110,8.30,Orson Welles,Mystery,Everett Sloane,Citizen Kane
111,5.80,Jenny Gage,Romance,Samuel Larsen,After
112,6.80,Brian De Palma,Mystery,Larry Jenkins,Body Double
113,6.00,Madeleine Olnek,Drama,Amy Seimetz,Wild Nights with Emily
114,5.40,Harry Elfont,Comedy,Serena Altschul,Josie and the Pussycats
115,6.60,Tim Burton,Fantasy,Frank Bourke,Dumbo
116,6.60,Jonathan Levine,Comedy,Bob Odenkirk,Long Shot
117,7.70,Tom McCarthy,Romance,Michael Bennett,The Visitor
118,7.10,Ronald Neame,Adventure,Fred Sadoff,The Poseidon Adventure
