,location,number_of_rooms,phone_number,place_name,price_per_night,smoking_allowed,star_rating,street_address,check_in_date,stay_length
0,London,2,+44 20 7493 4545,45 Park Lane,330,False,5,45 Park Lane,,
1,London,1,+44 20 7706 4660,Abc Hyde Park Hotel,102,False,3,121 Sussex Gardens,,
2,London,1,+44 20 8563 8692,Abercorn House,23,False,1,28-30 Bute Gardens,,
3,London,2,+44 20 7403 4299,Accommodation London Bridge,204,False,3,58 Great Dover Street,,
4,London,2,+44 20 7613 9800,Ace Hotel London,176,False,4,100 Shoreditch High Street,,
5,London,3,+44 20 7834 0205,Airways Hotel London Victoria,279,True,3,29-31 Saint George's Drive,,
6,London,3,+44 871 376 9012,Amba Hotel Charing Cross,312,False,4,Strand,,
7,London,3,+44 800 330 8523,Amba Hotel Marble Arch,444,False,4,Bryanston Street,,
8,London,1,+44 20 7388 9930,Ambassadors Bloomsbury Hotel,132,False,4,12 Upper Woburn Place,,
9,London,2,+44 20 7373 1075,Ambassadors Hotel,168,False,3,16 Collingham Road,,
10,London,2,+44 20 8563 8692,Abercorn House,46,False,1,28-30 Bute Gardens,2019-03-01,12
11,Vancouver,2,+1 604-689-1120,"Shangri-La Hotel, Vancouver",300,False,5,1128 West Georgia Street,,
12,Vancouver,3,+1 800-663-0666,Wedgewood Hotel & Spa Vancouver,510,False,5,845 Hornby Street,,
13,Vancouver,2,+1 604-678-8899,Auberge Vancouver Hotel,296,True,4,837 West Hastings Street,,
14,Vancouver,1,+1 604-697-0202,Coast Coal Harbour Vancouver Hotel By Apa,108,False,4,1180 West Hastings Street,,
15,Vancouver,3,+1 844-254-5048,Delta Hotels By Marriott Vancouver Downtown Suites,324,False,4,550 West Hastings Street,,
16,Vancouver,2,+1 604-563-4693,Exchange Hotel Vancouver,304,True,4,475 Howe Street,,
17,Vancouver,1,+1 800-663-1155,Georgian Court Hotel,108,False,4,773 Beatty Street,,
18,Vancouver,1,+1 604-620-6200,Hotel Blu Vancouver,100,False,4,177 Robson Street,,
19,Vancouver,3,+1 888-855-1050,L'Hermitage Vancouver,384,False,4,788 Richards Street,,
20,Vancouver,2,+1 604-669-5060,Loden Hotel,256,False,4,1177 Melville Street,,
21,Vancouver,1,+1 604-689-9211,Pinnacle Hotel Harbourfront,92,False,4,1133 West Hastings Street,,
22,Vancouver,1,+1 604-697-0202,Coast Coal Harbour Vancouver Hotel By Apa,108,False,4,1180 West Hastings Street,2019-03-02,2
23,Kuala Lumpur,3,+60 3-2268 3888,Alila Bangsar,315,False,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470",,
24,Kuala Lumpur,2,+60 3-2723 1188,Aloft Kuala Lumpur Sentral,208,False,4,"No. 5, Jalan Stesen Sentral, 50470 Kuala Lumpur, Wilayah Persekutuan",,
25,Kuala Lumpur,1,+60 3-2026 6060,Ancasa Hotel & Spa Kuala Lumpur,111,True,3,"Jalan Tun Tan Cheng Lock, City Centre, 50500 Kuala Lumpur, Wilayah Persekutuan",,
26,Kuala Lumpur,1,+60 3-2078 0988,Arenaa Star Hotel,108,False,3,"49-51, Jalan Hang Lekiu, 50100",,
27,Kuala Lumpur,3,+60 3-2113 1888,Banyan Tree Kuala Lumpur,465,True,5,"2, Jalan Conlay, 50450 Kuala Lumpur, Wilayah Persekutuan",,
28,Kuala Lumpur,2,+60 3-2693 2999,Citin Hotel Masjid Jamek,126,True,3,"33, Jalan Melayu, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan",,
29,Kuala Lumpur,3,+60 3-2296 1188,Cititel Mid Valley,288,True,3,"Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan",,
30,Kuala Lumpur,2,+60 3-2144 2200,Concorde Hotel Kuala Lumpur,296,True,4,"2, Jalan Sultan Ismail, Kuala Lumpur, 50250 Kuala Lumpur, Wilayah Persekutuan",,
31,Kuala Lumpur,1,+60 12-702 2851,Container Hotel,72,True,2,"Jalan Delima, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan",,
32,Kuala Lumpur,3,+60 3-2161 8888,Corus Hotel Kuala Lumpur,288,False,4,"Jalan Ampang, Hampshire Park, 50450 Kuala Lumpur, Wilayah Persekutuan",,
33,Kuala Lumpur,3,+60 3-2268 3888,Alila Bangsar,315,False,5,"East Side, 58, Jalan Ang Seng, Brickfields, 50470",2019-03-02,12
34,Philadelphia,2,+1 215-521-6500,Hilton Philadelphia At Penn'S Landing,264,False,4,201 South Christopher Columbus Boulevard,,
35,Philadelphia,2,+1 855-295-2355,Kimpton Hotel Monaco Philadelphia,160,False,4,433 Chestnut Street,,
36,Philadelphia,3,+1 215-422-8200,Le MeRidien Philadelphia,384,False,4,1421 Arch Street,,
37,Philadelphia,3,+1 215-492-9000,Philadelphia Airport Marriott,384,False,4,One Arrivals Road Terminal B,,
38,Philadelphia,1,+1 800-468-3571,Renaissance Philadelphia Downtown Hotel,144,False,4,401 Chestnut Street,,
