"Speaker","Utterance"
"dialogue_id:"," 52_00078"
"USER","""Would you mind helping me with a hotel reservation?"""
"SYSTEM","""Where would you like to stay and when are you planning to check in?"""
"USER","""I'm going to be in Delhi on the 2nd and I'd like to try and get one room at Ibis New Delhi Aerocity."""
"SYSTEM","""How long would you like to say?"""
"USER","""I'm planning to check out on March 9th."""
"SYSTEM","""Confirming 1 room at Ibis New Delhi Aerocity in Delhi for a March 2nd check in and a March 9th check out."""
"USER","""That's perfect, thanks."""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-02, check_out_date: 2019-03-09, hotel_name: Ibis New Delhi Aerocity, location: Delhi, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ average_rating: 4.10, check_in_date: 2019-03-02, check_out_date: 2019-03-09, hotel_name: Ibis New Delhi Aerocity, location: Delhi, number_of_rooms: 1, pets_welcome: True, phone_number: +91 11 4302 0202, price: 1344, street_address: Asset no 9 Indira Gandhi International Airport Aerocity Hospitality District }]\nEnd Search Results"""
"SYSTEM","""The reservation has been booked."""
"USER","""What kind of rating do they have?"""
"SYSTEM","""The hotel has a 4.1 average rating."""
"USER","""How much does it cost? And I also need a phone number."""
"SYSTEM","""The total price will be $1,344. The phone number of the hotel is +91 11 4302 0202."""
"USER","""Terrific. I also need a one way flight."""
"SYSTEM","""Where are you departing from?"""
"USER","""Leaving from Vegas."""
"SYSTEM","""Is that on March 2nd?"""
"USER","""Yes it is."""
"SYSTEM","APICall(method='SearchOnewayFlight', parameters={ departure_date: 2019-03-02, destination_city: Delhi, origin_city: Las Vegas })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-02, destination_airport: Indira Gandhi International Airport, destination_city: Delhi, number_stops: 1, origin_airport: McCarran International Airport, origin_city: Las Vegas, outbound_arrival_time: 16:07, outbound_departure_time: 06:40, passengers: 1, price: 404, refundable: False, seating_class: Economy }, { airlines: Southwest Airlines, departure_date: 2019-03-02, destination_airport: Indira Gandhi International Airport, destination_city: Delhi, number_stops: 1, origin_airport: McCarran International Airport, origin_city: Las Vegas, outbound_arrival_time: 16:07, outbound_departure_time: 09:55, passengers: 1, price: 378, refundable: False, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I've found 2 options. There's an American Airlines flight which leaves at 6:40 AM with 1 stop for $404."""
"USER","""What else is there?"""
"SYSTEM","""I also have a Southwest Airlines flight at 9:55 AM, also with 1 stop for $378."""
"USER","""I think that one is good."""
"SYSTEM","""Would you like to buy tickets now?"""
"USER","""Sure, and its for three people."""
"SYSTEM","""Confirming a flight on Southwest Airlines from Las Vegas to Delhi on March 2nd for 3 economy passengers."""
"USER","""Great, thank you. Where does the flight depart from and what is the arrival time of the onward flight?"""
"SYSTEM","APICall(method='ReserveOnewayFlight', parameters={ airlines: Southwest Airlines, departure_date: 2019-03-02, destination_city: Delhi, origin_city: Las Vegas, passengers: 3, seating_class: Economy })"
"Tool","""Search Results\n[{ airlines: Southwest Airlines, departure_date: 2019-03-02, destination_airport: Indira Gandhi International Airport, destination_city: Delhi, number_stops: 1, origin_airport: McCarran International Airport, origin_city: Las Vegas, outbound_arrival_time: 16:07, outbound_departure_time: 09:55, passengers: 3, price: 378, refundable: False, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""It flies out of McCarran International Airport and the arrival is 4:07 PM. The reservation is confirmed."""
"USER","""Thank you for your help."""
"SYSTEM","""My pleasure, thank you."""
