,class,date_of_journey,from,from_station,journey_start_time,number_of_adults,to,to_station,total,trip_protection
0,Value,2019-03-07,Anaheim,Anaheim Intermodal Center,06:30,1,Phoenix,Phoenix Union Station,123,True
1,Value,2019-03-07,Anaheim,Anaheim Intermodal Center,06:40,1,Phoenix,Phoenix Union Station,125,True
2,Value,2019-03-07,Anaheim,Anaheim Intermodal Center,12:00,1,Phoenix,Phoenix Union Station,132,True
3,Value,2019-03-07,Anaheim,Anaheim Intermodal Center,14:50,1,Phoenix,Phoenix Union Station,142,True
4,Value,2019-03-01,New York,Grand Central Station,06:00,1,Chicago,Chicago Union Station,115,True
5,Value,2019-03-01,New York,Grand Central Station,06:10,1,Chicago,Chicago Union Station,114,True
6,Value,2019-03-01,New York,Grand Central Station,07:50,1,Chicago,Chicago Union Station,127,True
7,Value,2019-03-01,New York,Grand Central Station,09:50,1,Chicago,Chicago Union Station,111,True
8,Value,2019-03-01,New York,Grand Central Station,13:40,1,Chicago,Chicago Union Station,136,True
9,Value,2019-03-01,New York,Grand Central Station,17:10,1,Chicago,Chicago Union Station,127,True
10,Value,2019-03-01,Fresno,Fresno Station,07:00,1,Anaheim,Anaheim Intermodal Center,72,True
11,Value,2019-03-01,Fresno,Fresno Station,09:30,1,Anaheim,Anaheim Intermodal Center,69,True
12,Value,2019-03-01,Fresno,Fresno Station,10:50,1,Anaheim,Anaheim Intermodal Center,66,True
13,Value,2019-03-01,Fresno,Fresno Station,16:50,1,Anaheim,Anaheim Intermodal Center,69,True
14,Value,2019-03-01,Fresno,Fresno Station,18:00,1,Anaheim,Anaheim Intermodal Center,74,True
15,Value,2019-03-01,Fresno,Fresno Station,18:40,1,Anaheim,Anaheim Intermodal Center,74,True
16,Business,2019-03-01,Fresno,Fresno Station,09:30,4,Anaheim,Anaheim Intermodal Center,397,True
17,Business,2019-03-01,Fresno,Fresno Station,10:50,4,Anaheim,Anaheim Intermodal Center,384,True
18,Business,2019-03-01,Fresno,Fresno Station,18:00,4,Anaheim,Anaheim Intermodal Center,414,True
19,Value,2019-03-10,San Francisco,Salesforce Transit Center,06:10,1,Sacramento,Sacramento Valley Station,45,True
20,Value,2019-03-10,San Francisco,Salesforce Transit Center,06:20,1,Sacramento,Sacramento Valley Station,50,True
21,Value,2019-03-10,San Francisco,Salesforce Transit Center,06:50,1,Sacramento,Sacramento Valley Station,52,True
22,Value,2019-03-10,San Francisco,Salesforce Transit Center,10:20,1,Sacramento,Sacramento Valley Station,45,True
23,Value,2019-03-10,San Francisco,Salesforce Transit Center,10:50,1,Sacramento,Sacramento Valley Station,46,True
24,Value,2019-03-10,San Francisco,Salesforce Transit Center,12:30,1,Sacramento,Sacramento Valley Station,47,True
25,Value,2019-03-10,San Francisco,Salesforce Transit Center,12:40,1,Sacramento,Sacramento Valley Station,43,True
26,Value,2019-03-10,San Francisco,Salesforce Transit Center,16:50,1,Sacramento,Sacramento Valley Station,43,True
27,Value,2019-03-10,San Francisco,Salesforce Transit Center,18:50,1,Sacramento,Sacramento Valley Station,47,True
28,Value,2019-03-03,Los Angeles,Union Station,06:30,1,Phoenix,Phoenix Union Station,86,True
29,Value,2019-03-03,Los Angeles,Union Station,07:40,1,Phoenix,Phoenix Union Station,87,True
30,Value,2019-03-03,Los Angeles,Union Station,08:10,1,Phoenix,Phoenix Union Station,93,True
31,Value,2019-03-03,Los Angeles,Union Station,09:00,1,Phoenix,Phoenix Union Station,86,True
32,Value,2019-03-03,Los Angeles,Union Station,11:20,1,Phoenix,Phoenix Union Station,92,True
33,Value,2019-03-09,Vancouver,Pacific Central Station,06:50,1,Portland,Union Station,80,True
34,Value,2019-03-09,Vancouver,Pacific Central Station,08:10,1,Portland,Union Station,82,True
35,Value,2019-03-09,Vancouver,Pacific Central Station,08:20,1,Portland,Union Station,78,True
36,Value,2019-03-09,Vancouver,Pacific Central Station,08:40,1,Portland,Union Station,81,True
37,Value,2019-03-09,Vancouver,Pacific Central Station,12:00,1,Portland,Union Station,85,True
38,Value,2019-03-09,Vancouver,Pacific Central Station,14:10,1,Portland,Union Station,79,True
39,Value,2019-03-09,Vancouver,Pacific Central Station,16:10,1,Portland,Union Station,73,True
40,Value,2019-03-09,Vancouver,Pacific Central Station,16:20,1,Portland,Union Station,70,True
41,Value,2019-03-12,San Diego,Santa Fe Depot,08:30,1,Anaheim,Anaheim Intermodal Center,53,True
42,Value,2019-03-12,San Diego,Santa Fe Depot,09:10,1,Anaheim,Anaheim Intermodal Center,54,True
43,Value,2019-03-12,San Diego,Santa Fe Depot,09:50,1,Anaheim,Anaheim Intermodal Center,58,True
44,Value,2019-03-12,San Diego,Santa Fe Depot,10:00,1,Anaheim,Anaheim Intermodal Center,50,True
45,Value,2019-03-12,San Diego,Santa Fe Depot,12:20,1,Anaheim,Anaheim Intermodal Center,51,True
46,Value,2019-03-12,San Diego,Santa Fe Depot,15:10,1,Anaheim,Anaheim Intermodal Center,55,True
47,Value,2019-03-12,San Diego,Santa Fe Depot,15:20,1,Anaheim,Anaheim Intermodal Center,48,True
48,Value,2019-03-12,San Diego,Santa Fe Depot,19:40,1,Anaheim,Anaheim Intermodal Center,49,True
49,Value,2019-03-02,Vancouver,Pacific Central Station,06:20,1,Seattle,King Street Station,55,True
50,Value,2019-03-02,Vancouver,Pacific Central Station,06:40,1,Seattle,King Street Station,61,True
51,Value,2019-03-02,Vancouver,Pacific Central Station,07:10,1,Seattle,King Street Station,57,True
52,Value,2019-03-02,Vancouver,Pacific Central Station,14:40,1,Seattle,King Street Station,62,True
53,Value,2019-03-02,Vancouver,Pacific Central Station,15:10,1,Seattle,King Street Station,60,True
54,Value,2019-03-02,Vancouver,Pacific Central Station,15:50,1,Seattle,King Street Station,57,True
55,Value,2019-03-02,Vancouver,Pacific Central Station,17:40,1,Seattle,King Street Station,56,True
56,Value,2019-03-02,Vancouver,Pacific Central Station,18:10,1,Seattle,King Street Station,56,True
57,Value,2019-03-02,Vancouver,Pacific Central Station,18:30,1,Seattle,King Street Station,59,True
58,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,06:50,1,Sacramento,Sacramento Valley Station,151,True
59,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,07:10,1,Sacramento,Sacramento Valley Station,172,True
60,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,07:40,1,Sacramento,Sacramento Valley Station,158,True
61,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,08:10,1,Sacramento,Sacramento Valley Station,153,True
62,Flexible,2019-03-05,Anaheim,Anaheim Intermodal Center,11:00,1,Sacramento,Sacramento Valley Station,151,True
