"Speaker","Utterance"
"dialogue_id:"," 22_00051"
"USER","""Can you find a good Family Counselor for me?"""
"SYSTEM","""No problem. Can you let me know which city you would like me to search in?"""
"USER","""Sorry about that. Can you find someone in San Jose for me?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Jose, type: Family Counselor })"
"Tool","""Search Results\n[{ address: 2516 Samaritan Drive, city: San Jose, phone_number: 408-358-7401, therapist_name: Banner Linda L, type: Family Counselor }, { address: 1101 South Winchester Boulevard # A101, city: San Jose, phone_number: 408-296-2926, therapist_name: Carney-Carder Gail D, type: Family Counselor }]\nEnd Search Results"""
"SYSTEM","""There is one highly recommended Family Counselor in San Jose you may like. The name of the therapist is Banner Linda L."""
"USER","""Sounds good. Can you give me their address and phone number?"""
"SYSTEM","""They are located at 2516 Samaritan Drive and their number is 408-358-7401."""
"USER","""Awesome. Thanks. Can you book an appointment for next Monday for me?"""
"SYSTEM","""No problem. What time would you like to make your appointment?"""
"USER","""Make it for sometime in the evening 5."""
"SYSTEM","""Okay, just confirm the following. Booking at appointment with Banner Linda L for 5 pm on March 4th. Correct?"""
"USER","""Yeah, that sounds good. Thanks."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-04, appointment_time: 17:00, therapist_name: Banner Linda L })"
"Tool","""Search Results\n[{ address: 2516 Samaritan Drive, appointment_date: 2019-03-04, appointment_time: 17:00, phone_number: 408-358-7401, therapist_name: Banner Linda L }]\nEnd Search Results"""
"SYSTEM","""Your appointment was booked successfully. You should receive a confirmation email soon."""
"USER","""Awesome! Thanks a lot, I truly appreciate it. Can you do something else for me as well? I just remembered I need to request a payment."""
"SYSTEM","""No problem. What's the name of the contact?"""
"USER","""I need to make a transaction with Peter."""
"SYSTEM","""Okay. What amount will be transferred?"""
"USER","""The total amount will be for $71."""
"SYSTEM","""Okay, just confirm the following for me. You are making a public transaction with Peter for $71. This transaction will be visible to the public."""
"USER","""Yes, that's fine."""
"SYSTEM","APICall(method='RequestPayment', parameters={ amount: 71, private_visibility: False, receiver: Peter })"
"Tool","""Search Results\n[{ amount: 71, private_visibility: False, receiver: Peter }]\nEnd Search Results"""
"SYSTEM","""Okay, your payment request was a success."""
"USER","""Okay. Thanks alot. Could you also find a restaurant around on the same day? I could really use some Comfort Food right now."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Barbecue, location: San Jose })"
"Tool","""Search Results\n[{ address: 5391 Prospect Road, category: Barbecue, has_seating_outdoors: False, has_vegetarian_options: False, location: San Jose, phone_number: 408-725-1686, price_range: moderate, rating: 4.00, restaurant_name: Dickey's Barbecue Pit }, { address: 2297 Stevens Creek Boulevard, category: Barbecue, has_seating_outdoors: False, has_vegetarian_options: False, location: San Jose, phone_number: 408-947-8600, price_range: moderate, rating: 4.30, restaurant_name: Korean Palace }]\nEnd Search Results"""
"SYSTEM","""No problem. I've found 2 restaurants you may like. I think you should check out Dickey's Barbecue Pit in San JOse."""
"USER","""What's their number?"""
"SYSTEM","""Their number is 408-725-1686."""
"USER","""What is their price range? Are they expensive?"""
"SYSTEM","""I would say they have a moderate price range. Nothing too bad."""
"USER","""Okay, that sounds good. Can you reserve a table for three people there for the afternoon 12."""
"SYSTEM","""Okay, please confirm the following details. Booking a table for 3 at Dickey's Barbecue Pit in San Jose on March 4th at 12 pm. Correct?"""
"USER","""No, actually I will need a table for four people. Sorry."""
"SYSTEM","""No problem. Just confirm the following for me. Booking a table for 4 at Dickey's Barbecue Pit. Correct?"""
"USER","""Yup, that's works."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-04, location: San Jose, number_of_seats: 4, restaurant_name: Dickey's Barbecue Pit, time: 12:00 })"
"Tool","""Search Results\n[{ address: 5391 Prospect Road, category: Barbecue, date: 2019-03-04, has_seating_outdoors: False, has_vegetarian_options: False, location: San Jose, number_of_seats: 4, phone_number: 408-725-1686, price_range: moderate, rating: 4.00, restaurant_name: Dickey's Barbecue Pit, time: 12:00 }]\nEnd Search Results"""
"SYSTEM","""Alright your reservation was a success. Enjoy!"""
"USER","""Thank you so much. I truly appreciate it."""
"SYSTEM","""Anything else I can do for you today?"""
"USER","""No thanks. That will be all for now. Thanks again!"""
"SYSTEM","""My pleasure. Have a good day."""
