"Speaker","Utterance"
"dialogue_id:"," 85_00075"
"USER","""Hey, I need to get tickets to an event, can you help me?"""
"SYSTEM","""Of course, can I get some more information? What city will you be in, and what kind of even would you like to see?"""
"USER","""I heard that Greensky Bluegrass would be in Seattle, WA - can we try that?"""
"SYSTEM","""What day would you like to go, and how many will be in your group?"""
"USER","""It's just me, so one ticket, and I'd like to go today."""
"SYSTEM","""So you'd like 1 ticket to Greensky Bluegrass on March 1st in Seattle?"""
"USER","""Yeah, that's it - where's the venue, and what time does it start?"""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Seattle, date: 2019-03-01, event_name: Greensky Bluegrass, number_of_tickets: 1 })"
"Tool","""Search Results\n[{ city: Seattle, date: 2019-03-01, event_name: Greensky Bluegrass, number_of_tickets: 1, time: 17:30, venue: Flamingo Lot, venue_address: 5500 Phinney Avenue North }]\nEnd Search Results"""
"SYSTEM","""The music starts at 5:30 pm and it's located at 5500 Phinney Avenue North."""
"USER","""Okay, great - can you get me a round trip there? I like United Airlines."""
"SYSTEM","""Are you returning the same day, March 1st? Where will you be leaving from?"""
"USER","""No, I'd be returning on the 9th of this month, I'd like flights from New York, I know today is last minute."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ airlines: United Airlines, departure_date: 2019-03-01, destination: Seattle, origin: New York, passengers: 1, return_date: 2019-03-09 })"
"Tool","""Search Results\n[{ airlines: United Airlines, departure_date: 2019-03-01, destination: Seattle, destination_airport: Seattle-Tacoma International Airport, fare: 337, inbound_arrival_time: 23:20, inbound_departure_time: 10:10, is_redeye: False, number_stops: 1, origin: New York, origin_airport: JFK International Airport, outbound_arrival_time: 10:48, outbound_departure_time: 05:10, passengers: 1, return_date: 2019-03-09, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I've found 1 flight with United Airlines that takes off at 5:10 am and returns 10:10 am, for $337."""
"USER","""Is this an economy ticket?"""
"SYSTEM","""Yes, this is economy."""
"USER","""Alright, that's all I'll need."""
"SYSTEM","""Have a great time."""
