,check_in_date,destination,has_wifi,hotel_name,number_of_days,number_of_rooms,phone_number,price_per_night,star_rating,street_address
0,2019-03-04,London,False,Comfort Inn Kings Cross,3,1,+44 20 7837 1940,198,3,2-5 Saint Chad's Street
1,2019-03-02,New York,True,Sanctuary Hotel New York,3,1,+1 212-234-7000,468,4,132 West 47th Street
2,2019-03-02,London,False,The Chamberlain Hotel,2,1,+44 20 7680 1500,200,4,132-135 Minories
3,2019-03-05,Delhi,False,Ibis New Delhi Aerocity,3,2,+91 11 4302 0202,138,3,Asset no 9 Indira Gandhi International Airport Aerocity Hospitality District
4,2019-03-05,London,False,Hanover Hotel Victoria,3,1,+44 20 7834 0367,75,3,30-32 Saint George's Drive
5,2019-03-01,London,False,Hanover Hotel Victoria,3,2,+44 20 7834 0367,162,3,30-32 Saint George's Drive
6,2019-03-01,London,False,Doubletree By Hilton Hotel London - Westminster,3,2,+44 20 7630 1000,252,4,30 John Islip Street
7,2019-03-07,Toronto,False,Super 8 By Wyndham Downtown Toronto,3,1,+1 800-536-0519,88,2,222 Spadina Avenue
8,2019-03-06,San Diego,True,Towneplace Suites By Marriott San Diego Downtown,3,1,+1 619-782-6400,99,3,1445 Sixth Avenue
9,2019-03-01,San Francisco,True,Kensington Park Hotel,3,1,+1 800-553-1900,105,3,450 Post Street
10,2019-03-07,London,False,The Ampersand Hotel,4,1,+44 20 7589 5895,220,5,10 Harrington Road
11,2019-03-02,San Francisco,True,"The Cartwright Hotel - Union Square, Bw Premier Collection",2,1,+1 415-421-2865,117,3,524 Sutter Street
12,2019-03-07,New York,True,Soho Garden Hotel,4,2,+1 212-941-6106,234,3,276 Canal Street
13,2019-03-03,Los Angeles,True,Best Western Plus Dragon Gate Inn,3,1,+1 213-617-3077,138,2,818 North Hill Street
14,2019-03-01,Paris,False,Yooma Urban Lodge,4,3,+33 1 44 09 00 13,333,3,"Paris-15E-Arrondissement, 51 Quai de Grenelle, 75015"
15,2019-03-04,New York,True,Aka Central Park,4,1,+1 646-744-3100,312,4,42 West 58th Street
16,2019-03-05,London,False,London Marriott Hotel Regents Park,1,2,+44 20 7722 7711,248,4,128 King Henry's Road
17,2019-03-08,Los Angeles,True,Kimpton Hotel Palomar Los Angeles Beverly Hills,2,1,+1 310-475-8711,92,4,10740 Wilshire Boulevard
18,2019-03-09,Philadelphia,True,Homewood Suites By Hilton Philadelphia-City Avenue,3,1,+1 215-966-3000,114,3,4200 City Avenue
19,2019-03-02,San Francisco,True,Hotel Griffon,1,1,+1 415-495-2100,288,3,"1206, 155 Steuart Street"
20,2019-03-02,Delhi,False,Haveli Dharampura,3,2,+91 11 2326 1000,232,4,"Haveli Dharampura, 2293, Gali Gulian, Chandni Chowk, New Delhi"
21,2019-03-01,New York,True,Hotel De Point,4,1,+1 718-358-8700,210,3,"20-07 127th Street, Flushing"
22,2019-03-01,London,False,The Queen'S Gate Hotel,2,2,+44 20 7584 7222,200,4,31-34 Queen's Gate
23,2019-03-01,Toronto,False,Best Western Plus Toronto North York Hotel & Suites,3,1,+1 416-663-9500,126,3,50 Norfinch Drive
24,2019-03-04,San Diego,True,Catamaran Resort Hotel And Spa,3,1,+1 858-488-1081,432,4,3999 Mission Boulevard
25,2019-03-02,San Francisco,True,Hotel G,3,1,+1 877-828-4478,108,3,386 Geary Street
26,2019-03-02,New York,True,Radisson Hotel Jfk Airport,4,1,+1 718-322-2300,168,3,"135-30 140th Street, Jamaica"
27,2019-03-05,New York,True,Z Nyc Hotel,2,1,+1 212-319-7000,184,4,"11-01 43rd Avenue, Long Island City"
28,2019-03-04,New York,True,Courtyard By Marriott New York Downtown Manhattan/World Trade Center Area,4,1,+1 212-346-0088,252,3,133 Greenwich Street
29,2019-03-04,San Diego,True,Capri By The Sea By All Seasons Resort Lodging,2,1,+1 858-483-6110,75,3,4767 Ocean Boulevard
30,2019-03-09,Anaheim,True,Residence Inn Anaheim Resort/Convention Center,1,2,+1 714-782-7500,156,3,640 West Katella Avenue
31,2019-03-05,New York,True,Doubletree By Hilton Hotel Metropolitan - New York City,2,1,+1 212-752-7000,216,4,569 Lexington Avenue
32,2019-03-02,London,False,The Darlington Hyde Park,3,1,+44 20 7460 8800,162,3,111-117 Sussex Gardens
33,2019-03-01,Kuala Lumpur,False,Pacific Express Hotel Central Market,1,2,+60 3-2022 6888,168,4,"Jalan Hang Kasturi, City Centre, 50000"
34,2019-03-03,Kuala Lumpur,False,W Kuala Lumpur,2,1,+60 3-2786 8888,140,5,"121, Jalan Ampang, Kuala Lumpur, 50450"
35,,San Diego,True,Bahia Resort Hotel,,3,+1 858-539-8666,270,3,998 West Mission Bay Drive
36,,San Diego,True,Best Western Mission Bay,,1,+1 619-275-5700,64,2,2575 Clairemont Drive
37,,San Diego,True,Best Western Plus Bayside Inn,,1,+1 619-233-7500,69,3,555 West Ash Street
38,,San Diego,True,Best Western Plus Hacienda Hotel Old Town,,1,+1 619-298-4707,105,3,4041 Harney Street
39,,San Diego,True,Best Western Plus Island Palms Hotel & Marina,,2,+1 619-222-0561,150,3,2051 Shelter Island Drive
40,,San Diego,True,Best Western San Diego/Miramar Hotel,,2,+1 858-578-6600,120,2,9310 Kearny Mesa Road
41,,San Diego,True,Best Western Seven Seas,,3,+1 619-291-1300,315,3,411 Hotel Circle South
42,,San Diego,True,Best Western Yacht Harbor Hotel,,3,+1 619-224-3254,156,2,5005 North Harbor Drive
43,,San Diego,True,Blue Sea Beach Hotel,,3,+1 858-488-4700,270,3,707 Pacific Beach Drive
44,,San Diego,True,Capri By The Sea By All Seasons Resort Lodging,,1,+1 858-483-6110,108,3,4767 Ocean Boulevard
45,2019-03-02,San Diego,True,Best Western Mission Bay,2,1,+1 619-275-5700,64,2,2575 Clairemont Drive
46,,San Francisco,True,Amsterdam Hostel San Francisco,,1,+1 415-673-3277,46,1,749 Taylor Street
47,,San Francisco,True,Argonaut Hotel,,1,+1 415-563-0800,88,4,495 Jefferson Street
48,,San Francisco,True,Beck'S Motor Lodge,,1,+1 415-621-8212,50,2,2222 Market Street
49,,San Francisco,True,Bei Hotel San Francisco,,1,+1 415-626-6103,261,3,50 8th Street
50,,San Francisco,True,Beresford Arms Hotel,,1,+1 415-673-2600,306,3,701 Post Street
51,,San Francisco,True,Casa Loma Hotel,,1,+1 415-552-7100,62,2,610 Fillmore Street
52,,San Francisco,True,Chancellor Hotel On Union Square,,1,+1 415-362-2004,105,3,433 Powell Street
53,,San Francisco,True,Chelsea,,1,+1 415-563-5600,100,2,2095 Lombard Street
54,,San Francisco,True,Comfort Inn By The Bay,,1,+1 415-928-5000,48,2,2775 Van Ness Avenue
55,,San Francisco,True,Cornell Hotel De France,,1,+1 415-421-3154,270,3,715 Bush Street
56,2019-03-01,San Francisco,True,Amsterdam Hostel San Francisco,1,1,+1 415-673-3277,72,1,749 Taylor Street
57,,London,False,45 Park Lane,,1,+44 20 7493 4545,190,5,45 Park Lane
58,,London,False,Abc Hyde Park Hotel,,3,+44 20 7706 4660,270,3,121 Sussex Gardens
59,,London,False,Abercorn House,,2,+44 20 8563 8692,58,1,28-30 Bute Gardens
60,,London,False,Accommodation London Bridge,,3,+44 20 7403 4299,351,3,58 Great Dover Street
61,,London,False,Ace Hotel London,,3,+44 20 7613 9800,408,4,100 Shoreditch High Street
62,,London,False,Airways Hotel London Victoria,,2,+44 20 7834 0205,222,3,29-31 Saint George's Drive
63,,London,False,Amba Hotel Charing Cross,,2,+44 871 376 9012,168,4,Strand
64,,London,False,Amba Hotel Marble Arch,,2,+44 800 330 8523,200,4,Bryanston Street
65,,London,False,Ambassadors Bloomsbury Hotel,,1,+44 20 7388 9930,140,4,12 Upper Woburn Place
66,,London,False,Ambassadors Hotel,,3,+44 20 7373 1075,189,3,16 Collingham Road
67,,London,False,Abc Hyde Park Hotel,,1,+44 20 7706 4660,270,3,121 Sussex Gardens
68,,London,False,Abercorn House,,1,+44 20 8563 8692,58,1,28-30 Bute Gardens
69,,London,False,Accommodation London Bridge,,1,+44 20 7403 4299,351,3,58 Great Dover Street
70,,London,False,Ace Hotel London,,1,+44 20 7613 9800,408,4,100 Shoreditch High Street
71,,London,False,Airways Hotel London Victoria,,1,+44 20 7834 0205,222,3,29-31 Saint George's Drive
72,,London,False,Amba Hotel Charing Cross,,1,+44 871 376 9012,168,4,Strand
73,,London,False,Amba Hotel Marble Arch,,1,+44 800 330 8523,200,4,Bryanston Street
74,2019-03-02,London,False,Abc Hyde Park Hotel,2,1,+44 20 7706 4660,81,3,121 Sussex Gardens
75,,Paris,False,Ac Hotel By Marriott Paris Porte Maillot,,2,+33 1 84 82 49 09,184,1,"6 Rue Gustave Charpentier, 75017"
76,,Paris,False,Amastan Paris,,1,+33 1 49 52 99 70,124,1,"34 Rue Jean Mermoz, 75008"
77,,Paris,False,Aparthotel Adagio Access Paris La Villette,,2,+33 1 44 72 42 00,156,1,"28bis Avenue Corentin Cariou, 75019"
78,,Paris,False,Aparthotel Adagio Paris Montmartre,,2,+33 1 42 57 14 55,174,1,"10 Place Charles Dullin, 75018"
79,,Paris,False,Austin'S Saint Lazare HoTel,,1,+33 1 48 74 48 71,111,1,"26 Rue d'Amsterdam, 75009"
80,,Paris,False,Avalon Hotel Paris Gare Du Nord,,3,+33 1 42 85 50 00,180,1,"131 Boulevard de Magenta, 75010"
81,,Paris,False,Best Western Bretagne Montparnasse,,3,+33 1 45 38 52 59,348,1,"33 Rue Raymond Losserand, 75014"
82,,Paris,False,Bob Hotel By Elegancia,,1,+33 1 40 43 02 33,80,1,"30 Rue Pernety, 75014"
83,,Paris,False,Brach Paris,,2,+33 1 44 30 10 00,260,1,"1-7 Rue Jean Richepin, 75016"
84,,Paris,False,Buddha-Bar Hotel Paris,,1,+33 1 83 96 88 88,170,1,"4 Rue d'Anjou, 75008"
85,,Paris,False,Ac Hotel By Marriott Paris Porte Maillot,,1,+33 1 84 82 49 09,184,1,"6 Rue Gustave Charpentier, 75017"
86,,Paris,False,Aparthotel Adagio Access Paris La Villette,,1,+33 1 44 72 42 00,156,1,"28bis Avenue Corentin Cariou, 75019"
87,,Paris,False,Aparthotel Adagio Paris Montmartre,,1,+33 1 42 57 14 55,174,1,"10 Place Charles Dullin, 75018"
88,,Paris,False,Avalon Hotel Paris Gare Du Nord,,1,+33 1 42 85 50 00,180,1,"131 Boulevard de Magenta, 75010"
89,,Paris,False,Best Western Bretagne Montparnasse,,1,+33 1 45 38 52 59,348,1,"33 Rue Raymond Losserand, 75014"
90,,Paris,False,Brach Paris,,1,+33 1 44 30 10 00,260,1,"1-7 Rue Jean Richepin, 75016"
91,2019-03-06,Paris,False,Aparthotel Adagio Access Paris La Villette,4,1,+33 1 44 72 42 00,156,1,"28bis Avenue Corentin Cariou, 75019"
92,,London,False,45 Park Lane,,1,+44 20 7493 4545,190,3,45 Park Lane
93,,London,False,Ace Hotel London,,3,+44 20 7613 9800,408,3,100 Shoreditch High Street
94,,London,False,Amba Hotel Charing Cross,,2,+44 871 376 9012,168,3,Strand
95,,London,False,Amba Hotel Marble Arch,,2,+44 800 330 8523,200,3,Bryanston Street
96,,London,False,Ambassadors Bloomsbury Hotel,,1,+44 20 7388 9930,140,3,12 Upper Woburn Place
97,,London,False,Apex City Of London Hotel,,2,+44 20 7702 2020,192,3,1 Seething Lane
98,2019-03-03,London,False,45 Park Lane,2,1,+44 20 7493 4545,525,3,45 Park Lane
99,,New York,True,1 Hotel Brooklyn Bridge,,1,+1 833-625-6111,80,4,"60 Furman Street, Brooklyn"
100,,New York,True,1 Hotel Central Park,,1,+1 212-703-2001,150,5,1414 6th Avenue
101,,New York,True,11 Howard,,2,+1 212-235-1111,168,3,11 Howard Street
102,,New York,True,6 Columbus Hotel,,2,+1 212-204-3000,208,4,308 West 58th Street
103,,New York,True,Ac Hotel New York Times Square,,2,+1 212-398-2700,272,4,260 West 40th Street
104,,New York,True,Ace Hotel,,3,+1 212-991-0551,468,4,20 West 29th Street
105,,New York,True,Adria Hotel & Conference Center,,2,+1 718-631-5900,156,3,"221-17 Northern Boulevard, Bayside"
106,,New York,True,Aka Central Park,,1,+1 646-744-3100,152,4,42 West 58th Street
107,,New York,True,Aka Times Square,,1,+1 212-764-5700,80,4,123 West 44th Street
108,,New York,True,Aka Wall Street,,3,+1 212-252-9090,312,4,84 William Street
109,2019-03-01,New York,True,1 Hotel Brooklyn Bridge,1,1,+1 833-625-6111,80,4,"60 Furman Street, Brooklyn"
110,2019-03-04,London,False,45 Park Lane,3,1,+44 20 7493 4545,190,5,45 Park Lane
111,2019-03-04,London,False,45 Park Lane,1,1,+44 20 7493 4545,190,5,45 Park Lane
112,,Los Angeles,True,Ac Hotel By Marriott Beverly Hills,,3,+1 323-852-7000,138,2,6399 Wilshire Boulevard
113,,Los Angeles,True,Best Western Plus Dragon Gate Inn,,2,+1 213-617-3077,136,2,818 North Hill Street
114,,Los Angeles,True,Beverly Hills Marriott,,1,+1 310-553-6561,140,4,1150 South Beverly Drive
115,,Los Angeles,True,Beverly Laurel Motor Hotel,,2,+1 800-947-7666,80,2,8018 Beverly Boulevard
116,,Los Angeles,True,Courtyard By Marriott Los Angeles Century City/Beverly Hills,,2,+1 310-556-2777,126,3,10320 West Olympic Boulevard
117,,Los Angeles,True,Courtyard By Marriott Los Angeles L.A. Live,,2,+1 213-443-9222,144,3,901 West Olympic Boulevard
118,,Los Angeles,True,Courtyard By Marriott Los Angeles Lax/Century Boulevard,,2,+1 310-649-1400,234,3,6161 West Century Boulevard
119,,Los Angeles,True,Crowne Plaza Los Angeles Airport,,2,+1 310-642-7500,288,4,5985 West Century Boulevard
120,,Los Angeles,True,Dunes Inn - Wilshire,,3,+1 323-938-3617,186,2,4300 Wilshire Boulevard
121,,Los Angeles,True,Embassy Suites By Hilton Los Angeles International Airport North,,2,+1 310-215-1000,228,3,9801 Airport Boulevard
122,2019-03-03,Los Angeles,True,Ac Hotel By Marriott Beverly Hills,2,1,+1 323-852-7000,138,2,6399 Wilshire Boulevard
