,album,artist,genre,song_name,playback_device
0,Night Train,Jason Aldean,Country,When She Says Baby,
1,Night Train,Jason Aldean,Country,When She Says Baby,bedroom speaker
2,Mint,Alice Merton,Pop,Why So Serious,
3,Mint,Alice Merton,Pop,Why So Serious,TV
4,Expectations,Hayley Kiyoko,Pop,Curious,
5,Expectations,Bebe Rexha,Pop,I Got You,
6,Expectations,Bebe Rexha,Pop,Knees,
7,Expectations,Hayley Kiyoko,Pop,Let It Be,
8,Expectations,Hayley Kiyoko,Pop,Sleepover,
9,Expectations,Hayley Kiyoko,Pop,What I Need,
10,Expectations,Bebe Rexha,Pop,I Got You,kitchen speaker
11,Kaleidoscope Dream,Miguel,Pop,Adorn,
12,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,
13,Handwritten,Shawn Mendes,Pop,Aftertaste,
14,Holo,Limbo,Pop,Airplane Mode,
15,This Is Acting,Sia,Pop,Alive,
16,Title,Meghan Trainor,Pop,All About That Bass,
17,Always In Between,Jess Glynne,Pop,All I Am,
18,The Princess,Parov Stelar,Pop,All Night,
19,Journals,Justin Bieber,Pop,All That Matters,
20,Singular Act I,Sabrina Carpenter,Pop,Almost Love,
21,Illuminate,Shawn Mendes,Pop,Bad Reputation,
22,Illuminate,Shawn Mendes,Pop,Mercy,
23,Handwritten,Shawn Mendes,Pop,Never Be Alone,
24,Handwritten,Shawn Mendes,Pop,Something Big,
25,Handwritten,Shawn Mendes,Pop,Stitches,
26,Illuminate,Shawn Mendes,Pop,Treat You Better,
27,Illuminate,Shawn Mendes,Pop,Bad Reputation,bedroom speaker
28,Crooked Teeth,Papa Roach,Metal,Born For Greatness,
29,Meliora,Ghost,Metal,Cirice,
30,Anesthetic,Mark Morton,Metal,Cross Off,
31,Prequelle,Ghost,Metal,Dance Macabre,
32,No More Hollywood Endings,Battle Beast,Metal,Eden,
33,The Hunting Party,Linkin Park,Metal,Final Masquerade,
34,Got Your Six,Five Finger Death Punch,Metal,I Apologize,
35,Judas,Fozzy,Metal,Judas,
36,Maximalism,Amaranthe,Metal,Maximize,
37,Heroes,Sabaton,Metal,Night Witches,
38,The Seven Deadly Sins Original Soundtrack,Hiroyuki Sawano,Soundtracks,Perfect Time,
