"Speaker","Utterance"
"dialogue_id:"," 32_00080"
"USER","""I'm looking for a three bedroom place in Menlo Park."""
"SYSTEM","""Do you want to rent or buy? How many baths would you like?"""
"USER","""I want three baths. I'm looking to rent."""
"SYSTEM","APICall(method='FindHomeByArea', parameters={ area: Menlo Park, intent: rent, number_of_baths: 3, number_of_beds: 3 })"
"Tool","""Search Results\n[{ address: 2225 Sharon Road, area: Menlo Park, has_garage: True, in_unit_laundry: True, intent: rent, number_of_baths: 3, number_of_beds: 3, phone_number: 650-854-8661, price: 4050, property_name: Country Sharon Apartments }]\nEnd Search Results"""
"SYSTEM","""Country Sharon Apartments has places for rent. They are located at 2225 Sharon Road. They start at $4,050."""
"USER","""Sounds great. I'd like to visit the property later today."""
"SYSTEM","""Please confirm: scheduling a visit to Country Sharon Apartments on March 1st."""
"USER","""Yes, thank you."""
"SYSTEM","APICall(method='ScheduleVisit', parameters={ property_name: Country Sharon Apartments, visit_date: 2019-03-01 })"
"Tool","""Search Results\n[{ address: 2225 Sharon Road, has_garage: True, in_unit_laundry: True, number_of_baths: 3, number_of_beds: 3, phone_number: 650-854-8661, price: 4350, property_name: Country Sharon Apartments, visit_date: 2019-03-01 }]\nEnd Search Results"""
"SYSTEM","""Your visit has been scheduled."""
"USER","""Can you share the location with Christopher?"""
"SYSTEM","""Please confirm: sharing location 2225 Sharon Road with Christopher."""
"USER","""Yes, thank you."""
"SYSTEM","APICall(method='ShareLocation', parameters={ contact_name: Christopher, location: 2225 Sharon Road })"
"Tool","""Search Results\n[{ contact_name: Christopher, location: 2225 Sharon Road }]\nEnd Search Results"""
"SYSTEM","""The location has been shared."""
"USER","""Thank you. Can you find me a cab for 1? Pool ride is good."""
"SYSTEM","""Please confirm: pool ride for 1 to 2225 Sharon Road."""
"USER","""Yes, sounds good. How much is it?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 2225 Sharon Road, number_of_seats: 1, ride_type: Pool })"
"Tool","""Search Results\n[{ destination: 2225 Sharon Road, number_of_seats: 1, ride_fare: 17.93, ride_type: Pool, wait_time: 7 }]\nEnd Search Results"""
"SYSTEM","""Your cab is on the way. It will be $17.93."""
"USER","""Thanks, that's all."""
"SYSTEM","""Have a great day!"""
