"Speaker","Utterance"
"dialogue_id:"," 29_00074"
"USER","""I want to find some interesting events to spend my free time there and I need the one in Las Vegas. I like Theater events in particular and search it for the date March 7th."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: Las Vegas, date: 2019-03-07, event_type: Theater })"
"Tool","""Search Results\n[{ city: Las Vegas, date: 2019-03-07, event_name: Marriage Can Be Murder, event_type: Theater, price_per_ticket: 50, time: 17:00, venue: Showroom at the D Las Vegas, venue_address: 301 Fremont Street }]\nEnd Search Results"""
"SYSTEM","""Searched and got 1 event named Marriage Can Be Murder which is going to be held at Showroom at the D Las Vegas on March 7th at 5 pm. Do you want to go to this event or you need something else?"""
"USER","""I have to think and now I want to know the ticket cost for that show and venue address."""
"SYSTEM","""This event will be held at 301 Fremont Street and the total ticket cost will be around $50 each."""
"USER","""That's great. Thanks for your help to find a nice event."""
"SYSTEM","""That is my pleasure and shall I book the tickets now?"""
"USER","""I will tell you later and Now I need one more help from you. Can you find a house there to stay for a while and I need the same with laundry service. I am the only 1 person to stay there."""
"SYSTEM","APICall(method='SearchHouse', parameters={ has_laundry_service: True, number_of_adults: 1, where_to: Las Vegas })"
"Tool","""Search Results\n[{ address: 1215 South Las Vegas Boulevard, has_laundry_service: True, number_of_adults: 1, phone_number: +1 702-489-7500, rating: 3.70, total_price: 504, where_to: Las Vegas }, { address: 129 North 8th Street, has_laundry_service: True, number_of_adults: 1, phone_number: +1 702-553-2553, rating: 3.30, total_price: 1440, where_to: Las Vegas }]\nEnd Search Results"""
"SYSTEM","""I got a result. A nice house is situated at 1215 South Las Vegas Boulevard and the rating is 3.7. If it is okay for you then I will book this house now."""
"USER","""Yes, this house is okay for me."""
"SYSTEM","""What about booking? Shall I try now?"""
"USER","""No, not now and I will decide it later."""
"SYSTEM","""How can I help you further?"""
"USER","""A bus. I want a bus to go there and which should be a one-stop bus."""
"SYSTEM","""Let me know your current location to search for the bus and shall I try to book the bus tickets for the date March 7th?"""
"USER","""No please book it on Saturday this week and I need the bus from Sacramento."""
"SYSTEM","APICall(method='FindBus', parameters={ category: one-stop, departure_date: 2019-03-02, from_city: Sacramento, to_city: Las Vegas })"
"Tool","""Search Results\n[{ category: one-stop, departure_date: 2019-03-02, departure_time: 07:10, from_city: Sacramento, from_station: 65th Light Rail Station, num_passengers: 1, price: 63, to_city: Las Vegas, to_station: Union Plaza }, { category: one-stop, departure_date: 2019-03-02, departure_time: 07:40, from_city: Sacramento, from_station: 65th Light Rail Station, num_passengers: 1, price: 65, to_city: Las Vegas, to_station: Union Plaza }]\nEnd Search Results"""
"SYSTEM","""Noted and what about a bus departing at 7:10 am for the ticket cost $63?"""
"USER","""Is there any other buses available in your searched list?"""
"SYSTEM","""Yes, another bus which is going to leave at 7:40 am for the cost $65? Do you like to travel in this bus?"""
"USER","""Yes, I prefer this bus. Let us go back to the booking of tickets to the event that I have selected before. I need three tickets."""
"SYSTEM","""Okay, please confirm to book 3 tickets to the event Marriage Can Be Murder which will be held in Las Vegas for the date March 7th."""
"USER","""That is okay to proceed."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Las Vegas, date: 2019-03-07, event_name: Marriage Can Be Murder, number_of_tickets: 3 })"
"Tool","""Search Results\n[{ city: Las Vegas, date: 2019-03-07, event_name: Marriage Can Be Murder, number_of_tickets: 3, price_per_ticket: 50, time: 17:00, venue: Showroom at the D Las Vegas, venue_address: 301 Fremont Street }]\nEnd Search Results"""
"SYSTEM","""I have booked the tickets to the event successfully."""
"USER","""Thanks and that's all for now."""
"SYSTEM","""Have a good day."""
