,attraction_name,category,free_entry,good_for_kids,location,phone_number
0,Atlanta Botanical Garden,Park,False,True,Atlanta,404-876-5859
1,Atlanta History Center,Museum,False,True,Atlanta,404-814-4000
2,Bodies The Exhibition,Museum,False,True,Atlanta,404-496-4274
3,CNN Studio Tours,Tourist Attraction,False,True,Atlanta,877-426-6868
4,Cathedral of Christ the King,Place of Worship,True,True,Atlanta,404-233-2145
5,Chastain Memorial Park,Park,True,True,Atlanta,404-546-6788
6,Chick-fil-A College Football Hall of Fame,Museum,False,True,Atlanta,404-880-4800
7,Children's Museum of Atlanta,Museum,True,True,Atlanta,404-659-5437
8,Ebenezer Baptist Church,Place of Worship,False,True,Atlanta,404-688-7300
9,Georgia Aquarium,Nature Preserve,False,True,Atlanta,(404) 581-4000
10,360 CHICAGO,Tourist Attraction,True,True,Chicago,888-875-8439
11,American Writers Museum,Museum,False,True,Chicago,312-374-8790
12,Big Bus Tours Chicago (Tours begin at 98 E. Upper Wacker Dr.),Tourist Attraction,False,True,Chicago,877-285-4796
13,Burnham Park,Park,True,True,Chicago,312-742-8520
14,Chicago Children's Museum,Museum,False,True,Chicago,312-527-1000
15,Chicago Cultural Center,Performing Arts Venue,True,True,Chicago,312-744-6630
16,Chicago History Museum,Museum,True,True,Chicago,(800) 526-0857
17,Chicago Riverwalk,Park,True,False,Chicago,877-300-6746
18,Chicago Water Tower,Tourist Attraction,True,True,Chicago,312-742-0808
19,DuSable Museum of African American History,Museum,False,True,Chicago,773-947-0600
20,Garfield Park Conservatory,Park,False,True,Chicago,773-638-1777
21,Autry Museum of the American West,Museum,True,True,Los Angeles,323-667-2000
22,Battleship USS Iowa Museum,Museum,False,False,Los Angeles,877-446-9261
23,California African American Museum,Museum,False,True,Los Angeles,(213) 744-7432
24,Craft Contemporary,Museum,False,True,Los Angeles,323-937-4230
25,Discovery Cube Los Angeles,Museum,False,True,Los Angeles,818-686-2823
26,GRAMMY Museum L.A. LIVE,Museum,False,True,Los Angeles,213-765-6800
27,Hauser & Wirth,Museum,True,True,Los Angeles,213-988-7413
28,Japanese American National Museum,Museum,True,True,Los Angeles,213-625-0414
29,L.A. Louver,Museum,False,True,Los Angeles,310-822-4955
30,Los Angeles County Museum of Art,Museum,False,True,Los Angeles,(323) 857-0098
31,High Museum of Art,Museum,True,True,Atlanta,404-733-4200
32,Jimmy Carter Presidential Library and Museum,Museum,True,True,Atlanta,404-865-7100
33,Bradbury Building,Historical Landmark,True,True,Los Angeles,213-626-1893
34,Cabrillo Marine Aquarium,Nature Preserve,True,True,Los Angeles,310-612-1437
35,Cathedral of Our Lady of the Angels,Place of Worship,False,True,Los Angeles,213-680-5200
36,Dodger Stadium,Sports Venue,True,True,Los Angeles,866-363-4377
37,Dolby Theatre,Performing Arts Venue,True,True,Los Angeles,323-308-6300
38,Exposition Park,Park,True,True,Los Angeles,213-744-7458
39,Maggie Daley Park ice skating ribbon,Sports Venue,False,True,Chicago,312-552-3000
40,Wrigley Field,Sports Venue,False,True,Chicago,773-404-2827
