"Speaker","Utterance"
"dialogue_id:"," 16_00095"
"USER","""I am looking for a salon."""
"SYSTEM","""What city do you want me to look in?"""
"USER","""I would like to find one in San Francisco."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Francisco })"
"Tool","""Search Results\n[{ average_rating: 4.80, city: San Francisco, is_unisex: True, phone_number: 415-286-4371, street_address: 1532 20th Street, stylist_name: 1512 Barber Shop }, { average_rating: 4.50, city: San Francisco, is_unisex: True, phone_number: 415-824-1335, street_address: 2737 20th Street, stylist_name: 20Th Salon And Barber }]\nEnd Search Results"""
"SYSTEM","""I have located 10 salons that might interest you. One nice one is called 1512 Barber Shop and it is located in San Francisco."""
"USER","""Would you be able to locate a different one for me?"""
"SYSTEM","""Another good salon that is in San Francisco is 20Th Salon and Barber."""
"USER","""What is the phone number there?"""
"SYSTEM","""You can reach them by phone at 415-824-1335."""
"USER","""What is the average rating there?"""
"SYSTEM","""Their average rating is 4.5."""
"USER","""Are you able to locate a different salon for me? I would like to find one in Rohnert Park that is a unisex salon."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Rohnert Park, is_unisex: True })"
"Tool","""Search Results\n[{ average_rating: 4.50, city: Rohnert Park, is_unisex: True, phone_number: 707-843-3921, street_address: 6469 Redwood Drive, stylist_name: Barber'S Garage }, { average_rating: 3.70, city: Rohnert Park, is_unisex: True, phone_number: 707-585-6390, street_address: 360 Rohnert Park Expressway W, stylist_name: Great Clips }]\nEnd Search Results"""
"SYSTEM","""Barber's Garage is a good one that can be found in Rohnert Park."""
"USER","""Yes that sounds fine, can you share the location?"""
"SYSTEM","""Who would you like to share the location with?"""
"USER","""I want it shared with Kelly."""
"SYSTEM","""Would you like to share the address of 6469 Redwood Drive?"""
"USER","""That sounds fine. I would like to share it with Olivia."""
"SYSTEM","""Okay, confirm these details: You want to share the location of 6469 Redwood Drive with Olivia."""
"USER","""No, the address I would like to share is 3810 Mowry Avenue."""
"SYSTEM","""Okay, confirm these details for me: You would like to share the location 3810 Mowry Avenue with Olivia."""
"USER","""That sounds fine."""
"SYSTEM","APICall(method='ShareLocation', parameters={ contact_name: Olivia, location: 3810 Mowry Avenue })"
"Tool","""Search Results\n[{ contact_name: Olivia, location: 3810 Mowry Avenue }]\nEnd Search Results"""
"SYSTEM","""You have shared the location successfully."""
"USER","""Would you please show me my alarms?"""
"SYSTEM","APICall(method='GetAlarms', parameters={  })"
"Tool","""Search Results\n[{ alarm_name: Gym, alarm_time: 07:00 }]\nEnd Search Results"""
"SYSTEM","""You have 1 alarm set currently. There is also an alarm at 7 am with the name Gym."""
"USER","""Okay that is good. I would like to add a new alarm called cleaning."""
"SYSTEM","""What time would you like the alarm set for?"""
"USER","""That would be for 3:30 in the afternoon."""
"SYSTEM","""Please confirm these details for me: Creating an alarm at 3:30 pm with the name cleaning."""
"USER","""Yes, that would be good."""
"SYSTEM","APICall(method='AddAlarm', parameters={ new_alarm_name: Cleaning, new_alarm_time: 15:30 })"
"Tool","""Search Results\n[{ new_alarm_name: Cleaning, new_alarm_time: 15:30 }]\nEnd Search Results"""
"SYSTEM","""The alarm was added successfully."""
"USER","""Thank you very much."""
"SYSTEM","""Is there anything else I can do for you?"""
"USER","""No, thanks very much."""
"SYSTEM","""Thank you very much."""
