,genre,location,movie_name,price,show_type,street_address,theater_name,show_date,show_time,number_of_tickets
0,Biographical,San Jose,Breakthrough,14,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
1,Animation,San Jose,How to Train Your Dragon: The Hidden World,15,3d,2190 Eastridge Loop,AMC Eastridge 15,,,
2,Comedy,San Jose,Little,20,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
3,Comedy,San Jose,Missing Link,7,3d,700 El Paseo de Saratoga,AMC Saratoga 14,,,
4,Adventure,San Jose,Shazam!,19,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
5,Horror,San Jose,The Curse of La Llorona,16,3d,2306 Almaden Road,CineLux Almaden Cinema,,,
6,Drama,San Jose,Wild Nights with Emily,21,3d,288 South 2nd Street,3 Below Theaters And Lounge,,,
7,Horror,San Jose,The Curse of La Llorona,16,3d,2306 Almaden Road,CineLux Almaden Cinema,2019-03-05,22:30,
8,Horror,Concord,The Curse of La Llorona,22,3d,2035 Diamond Boulevard,Veranda LUXE Cinema & IMAX,,,
9,Horror,Concord,The Curse of La Llorona,22,3d,2035 Diamond Boulevard,Veranda LUXE Cinema & IMAX,2019-03-02,21:30,
10,Fantasy,Santa Clara,Dumbo,7,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
11,Fantasy,Santa Clara,Hellboy,9,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
12,Thriller,Santa Clara,Hotel Mumbai,10,imax,3111 Mission College Boulevard,AMC Mercado 20,,,
13,Animation,Santa Clara,How to Train Your Dragon: The Hidden World,6,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
14,Comedy,Santa Clara,Little,15,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
15,Comedy,Santa Clara,Long Shot,7,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
16,Comedy,Santa Clara,Missing Link,19,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
17,Thriller,Santa Clara,Pet Sematary,11,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
18,Adventure,Santa Clara,Shazam!,11,regular,3111 Mission College Boulevard,AMC Mercado 20,,,
19,Musical,Santa Clara,Teen Spirit,12,3d,3111 Mission College Boulevard,AMC Mercado 20,,,
20,Fantasy,Santa Clara,Dumbo,7,imax,3111 Mission College Boulevard,AMC Mercado 20,2019-03-02,17:00,
21,Fantasy,Morgan Hill,Hellboy,17,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,,,
22,Fantasy,Morgan Hill,Hellboy,17,imax,750 Tennant Station,CineLux Tennant Station Stadium 11,2019-03-02,17:30,
23,Adventure,Petaluma,Captain Marvel,24,imax,200 C Street,Boulevard 14 Cinema,,,
24,Comedy,Petaluma,Little,19,imax,200 C Street,Boulevard 14 Cinema,,,
25,Comedy,Petaluma,Little,19,imax,200 C Street,Boulevard 14 Cinema,2019-03-02,15:30,
26,Drama,Sebastopol,Hackers,11,regular,6868 McKinley Street,Rialto Cinemas,,,
27,Drama,Sebastopol,High Life,10,imax,6868 McKinley Street,Rialto Cinemas,,,
28,Drama,Sebastopol,Sunset,19,imax,6868 McKinley Street,Rialto Cinemas,,,
29,Drama,Sebastopol,The Best of Enemies,18,imax,6868 McKinley Street,Rialto Cinemas,,,
30,Drama,Sebastopol,Wild Nights with Emily,11,3d,6868 McKinley Street,Rialto Cinemas,,,
31,Drama,Sebastopol,Wild Nights with Emily,11,3d,6868 McKinley Street,Rialto Cinemas,2019-03-05,21:30,
32,Romance,Livermore,After,8,3d,2490 First Street,Livermore 13 Cinema,,,
33,Biographical,Livermore,Breakthrough,9,imax,2490 First Street,Livermore 13 Cinema,,,
34,Adventure,Livermore,Captain Marvel,10,imax,2490 First Street,Livermore 13 Cinema,,,
35,Drama,Livermore,High Life,23,3d,1722 First Street,Vine Cinema & Alehouse,,,
36,Comedy,Livermore,Missing Link,24,imax,2490 First Street,Livermore 13 Cinema,,,
37,Adventure,Livermore,Shazam!,24,imax,2490 First Street,Livermore 13 Cinema,,,
38,Romance,Livermore,Viva Las Vegas,10,regular,1722 First Street,Vine Cinema & Alehouse,,,
39,Adventure,Livermore,Captain Marvel,10,imax,2490 First Street,Livermore 13 Cinema,2019-03-05,21:00,
40,Animation,Fremont,How to Train Your Dragon: The Hidden World,20,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
41,Comedy,Fremont,Little,7,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
42,Thriller,Fremont,Pet Sematary,7,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
43,Adventure,Fremont,Shazam!,21,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,,,
44,Adventure,Fremont,Shazam!,21,imax,43917 Pacific Commons Boulevard,Century at Pacific Commons & XD,2019-03-08,22:30,
45,Adventure,San Jose,Captain Marvel,12,regular,2190 Eastridge Loop,AMC Eastridge 15,,,
46,Biographical,San Francisco,JT LeRoy,16,regular,3117 16th St,Roxie Theater,,,
