,average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
0,5.00,San Francisco,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,,
1,4.00,San Francisco,Aura Skin Spa,415-788-3800,450 Sutter Street #2340,Dermatologist,,
2,4.20,San Francisco,Bay Area Cosmetic Dermatology,415-440-6356,2211 Post Street #404,Dermatologist,,
3,3.70,San Francisco,Berman Skin Institute,415-771-6300,490 Post Street #320,Dermatologist,,
4,5.00,San Francisco,California Skin Institute,415-678-5887,909 Hyde Street #419,Dermatologist,,
5,5.00,San Francisco,Camarillo Diana B MD,415-441-1670,515 Spruce Street,Dermatologist,,
6,5.00,San Francisco,"Caren Campbell, MD",415-839-8118,45 Castro Street # 332,Dermatologist,,
7,4.90,San Francisco,David J MacGregor MD,415-989-9400,107 Melville Avenue,Dermatologist,,
8,4.00,San Francisco,Dr. Andrea Hui Austin,415-292-6350,2299 Post Street #312,Dermatologist,,
9,4.20,San Francisco,"Dr. Lawrence C. Cheung, MD",415-333-0348,595 Buckingham Way Ste. 220,Dermatologist,,
10,3.70,San Francisco,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,,
11,5.00,San Francisco,Arthur H Coleman Medical Center: Dickey Jan V MD,415-467-1400,4340 Redwood Highway Suite A-22,General Practitioner,,
12,5.00,San Francisco,"Avril Swan, MD",415-642-0333,1286 Sanchez Street a,General Practitioner,,
13,4.40,San Francisco,Bellamy Amber MD,415-452-2000,769 Center Boulevard #124,General Practitioner,,
14,5.00,San Francisco,Castro-Mission Health Center: Brown Deborah E MD,415-558-8221,1375 Sutter Street,General Practitioner,,
15,5.00,San Francisco,"Daniel S. Dinenberg, MD",415-529-4050,3555 Cesar Chavez,General Practitioner,,
16,5.00,San Francisco,Discover Health,415-732-7029,2250 Hayes Street,General Practitioner,,
17,3.80,San Francisco,"Dr. Arkady Gendelman, MD",415-567-8187,4050 Dublin Boulevard #2,General Practitioner,,
18,5.00,San Francisco,"Dr. David R. Pepper, MD",415-552-1013,240 Shotwell Street,General Practitioner,,
19,4.20,San Francisco,Dr. Jacob Wardwell,415-606-0309,1286 Sanchez Street,General Practitioner,,
20,5.00,,Arthur H Coleman Medical Center: Dickey Jan V MD,415-467-1400,4340 Redwood Highway Suite A-22,General Practitioner,2019-03-08,15:30
21,5.00,Los Gatos,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,,
22,5.00,Los Gatos,"Dr. Anakha R. Nambiar, MD",408-871-9105,55 East Julian Street,General Practitioner,,
23,4.80,Los Gatos,"Dr. D. Jeffrey Duckham, MD",408-358-3836,2505 Samaritan Drive,General Practitioner,,
24,3.70,Los Gatos,"Dr. James M. Pellegrin, MD",408-354-0782,143 East Main Street,General Practitioner,,
25,5.00,Los Gatos,"Dr. Jeffrey E. Brown, MD",408-998-5811,2300 California Street,General Practitioner,,
26,4.80,Los Gatos,"Dr. Kuljeet S. Rai, MD",408-356-3576,3880 South Bascom Avenue # 108,General Practitioner,,
27,5.00,Los Gatos,"Dr. Mary D. Defigard, MD",408-377-1459,Camden Avenue,General Practitioner,,
28,3.70,Los Gatos,"Dr. Susan Tran, D.O.",408-426-5540,1071 Blossom Hill Road,General Practitioner,,
29,3.10,Los Gatos,Family Medicine Samaritan Family Practice,408-340-5700,143 East Main Street,General Practitioner,,
30,4.30,Los Gatos,Hopner Dan MD,408-378-9114,14251 Winchester Boulevard #200,General Practitioner,,
31,5.00,,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,2019-03-12,12:30
32,5.00,Larkspur,"Dr. Robert R. Anderson, MD",415-461-8200,2211 Bush Street,Ophthalmologist,,
33,5.00,Larkspur,Marin Eye and Ear: Shimokaji and Shapiro M.D.s,415-925-2020,55 Stevenson Street,Ophthalmologist,,
34,5.00,,"Dr. Robert R. Anderson, MD",415-461-8200,2211 Bush Street,Ophthalmologist,2019-03-08,16:00
35,5.00,Novato,Elloway John MD,415-892-3300,1956 Union Street,General Practitioner,,
36,4.80,Novato,"J. Timothy Murphy, M.D.",415-209-2609,468 Tehama Street A,General Practitioner,,
37,5.00,Novato,"Patricia Glatt, M.D.",415-878-7200,1324 Grant Avenue,General Practitioner,,
38,5.00,Vacaville,"Dr. Farhad Zamani, MD",707-624-4000,131 West A Street,General Practitioner,,
39,5.00,Vacaville,"Maria Carmela Saavedra, M.D.",707-454-5952,770 Mason Street,General Practitioner,,
40,5.00,Vacaville,Vadlamudi Gautam K MD,707-455-8724,2360 Mendocino Avenue,General Practitioner,,
41,4.60,Vacaville,William T OConnor MD,707-446-1655,770 Mason Street,General Practitioner,,
42,5.00,,"Dr. Farhad Zamani, MD",707-624-4000,131 West A Street,General Practitioner,2019-03-12,14:30
43,5.00,Santa Clara,"David Quincy, M.D., MPH",408-241-3801,2734 East El Camino Real,General Practitioner,,
44,3.50,Santa Clara,"Emanuel Elias, M.D.",408-524-5733,2101 Forest Avenue #124,General Practitioner,,
45,5.00,Santa Clara,"Melissa Huck-Nguyen, M.D.",209-334-0944,7225 Rainbow Drive,General Practitioner,,
46,5.00,Santa Clara,"Peter Chung, DO",408-247-0099,210 North Jackson Avenue #20,General Practitioner,,
47,4.20,Santa Clara,Roger Washington's Family Practice,408-246-9926,1470 Halford Avenue #168,General Practitioner,,
48,5.00,Martinez,Contra-Costa Regional Med Center: Cominos Eve D MD,925-370-5000,2500 Alhambra Avenue,General Practitioner,,
49,5.00,Martinez,Contra-Costa Regional Med Center: Hubiak Melissa M MD,925-370-5110,2500 Alhambra Avenue,General Practitioner,,
50,5.00,Martinez,"Dr. Greta T. Perez, MD",925-370-5158,87 Fenton Street Suite 210,General Practitioner,,
51,5.00,Martinez,"Dr. Malaika M. Scott, MD",925-370-5142,2500 Alhambra Avenue,General Practitioner,,
52,5.00,,Contra-Costa Regional Med Center: Hubiak Melissa M MD,925-370-5110,2500 Alhambra Avenue,General Practitioner,2019-03-09,13:00
53,5.00,San Francisco,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,,
54,4.80,San Francisco,"Clifford Chew, MD",415-433-7945,45 Castro Street,ENT Specialist,,
55,4.70,San Francisco,"Dr. Clark Rosen, MD",415-885-7700,500 Sutter Street #430,ENT Specialist,,
56,5.00,San Francisco,"Dr. Daniel F. Hartman, MD",415-751-1414,3838 California Street #505,ENT Specialist,,
57,4.00,San Francisco,"Dr. Gary A. Rust, MD",415-626-4900,2460 Mission Street #217,ENT Specialist,,
58,5.00,San Francisco,Dr. Oscar A Saddul,415-641-5600,3838 California Street,ENT Specialist,,
59,5.00,San Francisco,"Dr. Steven H. Sloan, MD",415-379-9900,929 Clay Street Suite 501,ENT Specialist,,
60,5.00,San Francisco,Dr.Tipton Dale L MD Inc,415-621-6191,45 Castro Street #210,ENT Specialist,,
61,4.00,San Francisco,"Katherine Yung, M.D.",415-839-8639,1825 4th Street,ENT Specialist,,
62,3.70,San Francisco,Kim Theresa B MD,415-362-5443,450 Sutter Street #933,ENT Specialist,,
63,5.00,,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,2019-03-08,11:30
