"Speaker","Utterance"
"dialogue_id:"," 44_00114"
"USER","""When can I watch it?"""
"SYSTEM","""What movie do you want to watch, and on what date?"""
"USER","""I was to see Hotel Mumbai on the 2nd of this month."""
"SYSTEM","""Where are you located?"""
"USER","""Look for movies in Healdsburg."""
"SYSTEM","APICall(method='GetTimesForMovie', parameters={ location: Healdsburg, movie_name: Hotel Mumbai, show_date: 2019-03-02 })"
"Tool","""Search Results\n[{ genre: Thriller, location: Healdsburg, movie_name: Hotel Mumbai, price: 14, show_date: 2019-03-02, show_time: 15:30, show_type: regular, street_address: 415 Center Street, theater_name: Raven Film Center }]\nEnd Search Results"""
"SYSTEM","""There is a show time at 3:30 pm at the Raven Film Center."""
"USER","""What's the cost of the ticket?"""
"SYSTEM","""It is $14 per person."""
"USER","""Ok, that sounds good. I need a cab to get there. A shared ride is fine. I need to get to 415 Center Street."""
"SYSTEM","""How many people will there be?"""
"USER","""It's just for one person."""
"SYSTEM","""So you need a cab for 1 person to 415 Center Street, and are fine with a shared ride, is that correct?"""
"USER","""Yeah that's great. How much will it be?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 415 Center Street, number_of_riders: 1, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 23, destination: 415 Center Street, number_of_riders: 1, ride_fare: 17.67, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""I've booked your ride and it's on the way. The total cost is $17.67."""
"USER","""Great, thank you."""
"SYSTEM","""Is there anything else I can help you with?"""
"USER","""No, that is everything, thanks."""
"SYSTEM","""Alright, have a nice day!"""
