,address,category,date,has_seating_outdoors,has_vegetarian_options,location,number_of_seats,phone_number,price_range,rating,restaurant_name,time
0,377 Santana Row #1000,Asian,2019-03-01,True,True,San Jose,2,408-247-8880,moderate,4.00,Sino,11:30
1,335 Powell Street,Steakhouse,2019-03-01,False,False,San Francisco,2,415-397-3003,ultra high-end,3.80,Bourbon Steak Restaurant,13:00
2,2317 South El Camino Real,Seafood,2019-03-01,False,False,San Mateo,1,650-581-1305,moderate,4.20,Andes Cafe San Mateo,11:00
3,261 North 2nd Street,German,2019-03-05,True,False,San Jose,2,408-771-9871,moderate,4.50,Ludwig's German Table,18:30
4,2300 First Street #110,Brunch,2019-03-01,False,True,Livermore,2,925-443-6638,moderate,4.40,Simply Fondue,13:00
5,1335 North 1st Street,Japanese,2019-03-01,False,False,San Jose,2,408-453-8120,moderate,4.20,House Of Genji,18:00
6,805 North Vasco Road,American,2019-03-14,False,False,Livermore,2,925-961-9090,cheap,3.70,Mcdonald's,12:30
7,20649 Rustic Drive,Japanese,2019-03-14,False,False,Castro Valley,2,510-886-8528,moderate,4.20,Isushi,19:30
8,55 River Oaks Place,American,2019-03-01,True,True,San Jose,2,408-618-8072,moderate,4.10,Lalla Grill,18:30
9,133 South Murphy Avenue,Mediterranean,2019-03-01,True,False,Sunnyvale,4,408-735-9971,moderate,4.00,Taverna Bistro,18:00
10,2826 Telegraph Avenue,Chinese,2019-03-03,False,True,Berkeley,2,510-647-9744,moderate,4.50,Royal Rangoon Restaurant,12:00
11,96 Gough Street,Coffeehouse,2019-03-01,False,False,San Francisco,2,415-658-7888,moderate,4.50,Kittea Cat Cafe,19:00
12,599 O'Farrell Street,Mexican,2019-03-01,False,True,San Francisco,2,415-202-0530,cheap,3.80,El Tesoro Taqueria & Grill,12:00
13,500 Raley's Town Centre,Mexican,2019-03-02,True,False,Rohnert Park,1,707-588-0893,moderate,4.10,Tonayan,12:30
