"Speaker","Utterance"
"dialogue_id:"," 97_00050"
"USER","""I'd like to find something interesting to do on the 13th of this month. I'd particularly like some Rock Music events. Can you suggest something?"""
"SYSTEM","""Sure, but tell me if you'd like a particular city for the event."""
"USER","""Please check for event happening in New York City on the 8th of march."""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Rock, city: New York, date: 2019-03-08, event_type: Music })"
"Tool","""Search Results\n[{ category: Rock, city: New York, date: 2019-03-08, event_name: Jethro Tull, event_type: Music, time: 18:30, venue: Forest Hills Stadium, venue_address: 1 Tennis Place, Forest Hills }, { category: Rock, city: New York, date: 2019-03-08, event_name: Low, event_type: Music, time: 19:00, venue: Murmrr, venue_address: 17 Eastern Parkway, Brooklyn }]\nEnd Search Results"""
"SYSTEM","""There's Jethro Tull playing at the Forest Hills Stadium."""
"USER","""Can you please tell me the address as well as the starting time for this event?"""
"SYSTEM","""The address is 1 Tennis Place, Forest Hills and the event starts at 6:30 pm."""
"USER","""Sounds awesome. Can you please check my balance for me?"""
"SYSTEM","""Sure. Do you want the balance of your checking account or of your savings account?"""
"USER","""Please check for my checking account."""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: checking })"
"Tool","""Search Results\n[{ account_type: checking, balance: 8346.20 }]\nEnd Search Results"""
"SYSTEM","""At the moment, you have $8,346.20 in your checking account."""
"USER","""Can you also please check the balance of my savings account?"""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: savings })"
"Tool","""Search Results\n[{ account_type: savings, balance: 4616.26 }]\nEnd Search Results"""
"SYSTEM","""Sure. At the moment you have $4,616.26 in your savings account."""
"USER","""OK, thanks a lot."""
"SYSTEM","""Do you want me to make a transfer?"""
"USER","""No, not at the moment."""
"SYSTEM","""Is there anything else I could do for you?"""
"USER","""No, not at the moment. Thanks a lot for everything."""
"SYSTEM","""Have a good one!"""
