,address,area,has_garage,in_unit_laundry,intent,number_of_baths,number_of_beds,phone_number,price,property_name,visit_date
0,900 Pepper Tree Lane,Santa Clara,True,False,rent,2,3,866-472-2645,3650,Alderwood Apartments,
1,3440 Warburton Avenue,Santa Clara,False,False,rent,2,3,408-248-5766,3850,Briarwood Garden Apartments,
2,3600-3616 Flora Vista Avenue,Santa Clara,False,True,rent,2,3,408-261-2252,3550,Catalina Apartments,
3,1495 Don Avenue,Santa Clara,True,True,rent,2,3,408-713-6428,4000,Civic Plaza Apartments,
4,3131 Homestead Road,Santa Clara,False,False,rent,2,3,408-244-6715,3650,Laguna Clara Apartments,
5,3600 Benton Street # 5,Santa Clara,False,False,rent,2,3,408-241-4073,3550,Laurelwood Apartments,
6,865 Pomeroy Avenue,Santa Clara,False,False,rent,2,3,408-244-0035,3950,Park Terrace Apartments,
7,2150 Tasman Drive,Santa Clara,False,False,rent,2,3,408-492-9944,3700,Riverwood Grove,
8,3449 Agate Drive,Santa Clara,True,True,rent,2,3,408-296-7679,4050,Shayla Apartments,
9,2650 Keystone Avenue,Santa Clara,False,True,rent,2,3,408-244-2244,3850,Vista Del Lago Iii Apartments,
10,900 Pepper Tree Lane,,True,False,,2,3,866-472-2645,3650,Alderwood Apartments,2019-03-10
11,22800 Meridian Drive,Hayward,True,True,buy,3,4,510-455-8869,4250000,City Centre,
12,24955 Cypress Avenue,Hayward,True,True,buy,3,4,510-732-9432,4200000,Cypress House Apartments,
13,27901 Huntwood Avenue # 126,Hayward,True,False,buy,3,4,510-887-1543,4450000,Huntwood Commons,
14,2747 Oliver Drive,Hayward,True,True,buy,3,4,510-782-2311,4200000,Josephine Lum Lodge,
15,655 Tennyson Road,Hayward,True,False,buy,3,4,855-430-2503,4200000,Metro Six55 Apartments,
16,27808 Manon Avenue,Hayward,True,False,buy,3,4,510-782-2555,4350000,Town & Country Apartments,
17,22330 South Garden Avenue,Hayward,True,False,buy,3,4,510-783-8970,4250000,Villa Springs Apartments,
18,1137 Walpert Street,Hayward,True,True,buy,3,4,510-581-8484,4000000,Walnut Hills Apartments,
19,22800 Meridian Drive,,True,True,,3,4,510-455-8869,4250000,City Centre,2019-03-05
20,4230 San Pablo Dam Road # B16,El Sobrante,True,True,buy,2,3,510-223-4061,3650000,Redwood Manor Apartments,
21,4230 San Pablo Dam Road # B16,,True,True,,2,3,510-223-4061,3650000,Redwood Manor Apartments,2019-03-06
22,1550 Valley Glen Drive,Dixon,False,True,rent,3,3,707-693-9310,4200,Bristol Apartment Homes,
23,1395 North Lincoln Street,Dixon,False,True,rent,3,3,888-820-0137,4400,Lincoln Creek Apartments,
24,1395 North Lincoln Street,,False,True,,3,3,888-820-0137,3900000,Lincoln Creek Apartments,2019-03-09
25,40001 Fremont Boulevard,Fremont,True,False,buy,2,2,510-455-8815,2800000,Boulevard,
26,4200 Bay Street,Fremont,False,True,buy,2,2,510-455-8813,2750000,Briarwood At Central Park,
27,36163 Fremont Boulevard,Fremont,True,True,buy,2,2,510-793-1621,3000000,Brookvale Chateau,
28,41277 Roberts Ave # 32,Fremont,False,False,buy,2,2,510-656-2303,3050000,Felson Management Corporation,
29,37811 Fremont Boulevard,Fremont,False,False,buy,2,2,510-797-4520,2650000,Fremont Arms,
30,4262 Central Avenue,Fremont,True,True,buy,2,2,510-793-4336,2650000,Glenhaven Apartments,
31,4444 Central Avenue,Fremont,True,True,buy,2,2,510-792-1161,2750000,Glenmills Apartments,
32,38850 Farwell Drive,Fremont,False,False,buy,2,2,510-793-5100,2650000,Glenmoor Green Apartments,
33,41342 Roberts Avenue,Fremont,False,True,buy,2,2,510-657-9766,2650000,Granada Apartments,
34,40777 High Street,Fremont,False,True,buy,2,2,510-651-9080,2500000,Pebble Creek Communities,
35,40001 Fremont Boulevard,,True,False,,2,2,510-455-8815,2800000,Boulevard,2019-03-02
36,1501 Decoto Road,Union City,False,True,rent,2,3,510-487-2733,4050,Parkside Apartments,
37,3900 Horner Street,Union City,True,True,rent,2,3,510-489-2220,3550,Summerhill Place Apartments,
38,1501 Decoto Road,,False,True,,2,3,510-487-2733,3500000,Parkside Apartments,2019-03-08
39,40001 Fremont Boulevard,,True,False,,2,2,510-455-8815,3050,Boulevard,2019-03-10
40,2290 California Street,Mountain View,True,True,buy,2,3,650-965-8290,3500000,Arbors At Mountain View,
41,1335 Montecito Avenue # 1,Mountain View,True,False,buy,2,3,650-940-1909,3550000,Barkley Square Apartments,
42,200 East Dana Street,Mountain View,False,True,buy,2,3,650-967-3870,3450000,Dana Garden Apartments,
43,210 Easy Street,Mountain View,True,False,buy,2,3,650-961-2975,3150000,Fernmar Apartments,
44,375 Oaktree Drive,Mountain View,True,True,buy,2,3,650-390-9450,3200000,Ginzton Terrace,
45,1571 West El Camino Real,Mountain View,True,False,buy,2,3,650-969-9800,3550000,Hidden Garden Apartments,
46,2650 California Street,Mountain View,True,False,buy,2,3,650-948-7855,3100000,Kentfield Apartments,
47,1970 Latham Street,Mountain View,True,True,buy,2,3,650-961-6135,3300000,Latham Court Apartments,
48,1885 California Street,Mountain View,True,False,buy,2,3,650-964-3882,3350000,Maplewood,
49,1555 West Middlefield Road,Mountain View,True,False,buy,2,3,650-964-8511,3100000,Meadowood Apartments,
50,2290 California Street,,True,True,,2,3,650-965-8290,3500000,Arbors At Mountain View,2019-03-13
51,1300 Kentwood Lane,San Leandro,False,True,buy,1,1,510-481-2565,1900000,Ashland Village Apartments,
52,1511 163rd Avenue,San Leandro,True,True,buy,1,1,510-276-2693,1700000,Quail Run Apartments,
53,235 Haas Avenue,San Leandro,True,True,buy,1,1,510-569-5919,1850000,Woodside Apartments,
54,1511 163rd Avenue,,True,True,,1,1,510-276-2693,1500,Quail Run Apartments,2019-03-06
55,1282 Mattox Road,Hayward,True,True,buy,1,2,510-886-0385,2500000,Alpine Vista Apartments,
56,25100 Cypress Avenue,Hayward,True,True,buy,1,2,510-887-4406,2300000,Cypress Glen,
