,event_date,event_location,event_name,event_time,available_end_time,available_start_time
0,2019-03-05,88 Tully Road #112,Dentist appointment,10:00,,
1,2019-03-13,3111 Mission College Boulevard,Movie show,22:30,,
2,2019-03-13,,,,22:30,20:00
3,2019-03-04,1027 Airport Boulevard,Stylist appointment at Philgood Cuts,15:30,,
4,2019-03-06,235 West 46th Street,Westside Gunn concert,19:30,,
5,2019-03-06,,,,24:00,21:30
6,2019-03-09,2250 Hayes Street #302,Doctor appointment,11:00,,
7,2019-03-09,100 Potomac Avenue Southwest,Soccer game at Audi Field,19:00,,
8,2019-03-09,1374 West Peachtree Street Northwest,The Cinematic Orchestra concert,17:00,,
9,2019-03-14,1000 Vin Scully Ave,Baseball game,17:00,,
10,2019-03-14,"795 El Camino Real Clark Building, Level 2",Dermatologist appointment,16:00,,
11,2019-03-14,,,,16:00,08:00
12,2019-03-10,474 24th Street,Movie at The New Parkway Theater,22:30,,
13,2019-03-10,,,,13:30,08:00
14,2019-03-04,2664 Berryessa Road,Dentist appointment with Bautista Maximilian,16:00,,
15,2019-03-04,,,,14:30,08:00
16,2019-03-09,Holmesdale Road,Soccer game,17:00,,
17,2019-03-09,,,,17:00,14:30
18,2019-03-06,3117 16th St,Movie show,19:00,,
19,2019-03-06,14415 Shoreline Highway,Reservation for 6 people at Rocker Oysterfeller's,11:30,,
20,2019-03-09,881 7th Avenue,Joe Hisaishi concert,19:30,,
21,2019-03-09,6000 Bollinger Canyon Road Suite 2300,Movie at THE LOT City Center,22:00,,
22,2019-03-09,,,,19:30,08:00
23,2019-03-06,401 East Jefferson Street,Baseball Game: Diamondbacks Vs Rockies,19:30,,
24,2019-03-14,3111 Mission College Boulevard,Movie at AMC Mercado 20,22:30,,
25,2019-03-14,,,,11:00,08:00
26,2019-03-06,2317 Central Avenue,Movie booking for Dumbo,16:30,,
27,2019-03-13,140 Cashmere Street,Viewing at Ridgeview Terrace Townhouses,10:30,,
28,2019-03-13,,,,13:30,11:00
29,2019-03-08,456 Blossom Hill Road,Restaurant reservation at Mcdonald's,18:00,,
30,2019-03-08,,,,18:00,13:00
31,2019-03-01,315 Main Street C,Restaurant reservation at Pasta Moon,13:00,,
32,2019-03-09,2891 University Avenue,Psychedelic Furs concert,18:00,,
33,2019-03-09,,,,24:00,20:00
34,2019-03-03,5150 Graves Avenue # 10A,Dentist appointment with C-Dental X-Ray,13:00,,
35,2019-03-04,201 D Street,Property viewing,16:30,,
36,2019-03-04,,,,10:30,08:00
37,2019-03-14,2299 Post Street STE 312,Dermatologist appointment with Karls Michael S,10:00,,
38,2019-03-12,16390 4th Street,Restaurant reservation for 4 at Betty Spaghetti,11:30,,
39,2019-03-12,,,,22:30,13:00
40,2019-03-02,100 Brannan Street,Table for 2 at Caputo,19:00,,
41,2019-03-12,1060 West Addison Street,Baseball game,18:00,,
42,2019-03-12,,,,12:00,08:00
43,2019-03-05,500 Larkspur Landing Circle,Movie show,23:00,,
44,2019-03-02,1860 Fillmore Street,Stylist appointment at Lotte Beauty Salon,17:00,,
45,2019-03-02,,,,17:00,08:00
46,2019-03-08,2211 Post Street #404,"Dermatologist appointment with Greenbrae Dermatology, Cheryl Tanasovich, M.D., Benjamin Nichols, M.D., John Maddox, M.D.",14:00,,
47,2019-03-08,868 Grant Avenue,Restaurant reservation at Batika India Bistro,11:30,,
48,2019-03-08,50 Upper Alabama Street,Taking Back Sunday concert,19:00,,
49,2019-03-06,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Juliana Hatfield concert,17:00,,
50,2019-03-06,2801 Summit Street,Property viewing,11:30,,
51,2019-03-06,,,,11:30,08:00
52,2019-03-06,,,,12:30,12:00
53,2019-03-06,,,,13:30,13:00
54,2019-03-07,2020 Kathleen Drive,Property viewing,12:00,,
55,2019-03-10,1600 Stockton Street,Reservation for 2 people at Acquolina,18:00,,
56,2019-03-10,,,,18:00,12:00
57,2019-03-09,235 West 46th Street,Buddy Guy concert,17:00,,
58,2019-03-09,2221,Movie show,19:00,,
59,2019-03-04,603 South Knickerbocker Drive,"Dermatologist appointment with Bernard Recht, Ph.D., M.D.",10:30,,
60,2019-03-04,5614 Bay Street Suite 220,Movie booking for Little,23:00,,
61,2019-03-04,2901 East Hastings Street,Smokey Robinson concert,19:00,,
62,2019-03-04,,,,11:30,11:00
63,2019-03-04,,,,12:30,12:00
64,2019-03-06,20632 Redwood Road # A,Appointment with Darnell Jr Robert,12:30,,
65,2019-03-06,,,,24:00,13:30
66,2019-03-12,100 Rockaway Beach Avenue,Restaurant reservation for 3 at Nick's Rockaway,11:00,,
67,2019-03-12,,,,11:00,08:00
