Speaker,Utterance
dialogue_id:, 8_00000
USER,"""Please schedule a property visit."""
SYSTEM,"""Which property and when do you want to visit?"""
USER,"""I would like to Tiburon 6 lyford, Llc on March 3rd"""
SYSTEM,"""Please confirm: Scheduling a visit to Tiburon 6 lyford, Llc on march 3rd"""
USER,"""Yes, thats right"""
SYSTEM,"""APICall(method='ScheduleVisit', parameters={ property_name: Tiburon 6 Lyford, Llc, visit_date: 2019-03-03 })"""
Tool,"""Search Results\n[{ address: 6 Lyford Drive, Belvedere, has_garage: False, in_unit_laundry: False, number_of_baths: 1, number_of_beds: 1, phone_number: 855-553-0652, price: 1750, property_name: Tiburon 6 Lyford, Llc, visit_date: 2019-03-03 }]\nEnd Search Results"""
SYSTEM,"""Your visit is scheduled."""
USER,"""Whats the address and the contact number?"""
SYSTEM,"""Its located at 6 Lyford Drive, Belvedere and the number is 855-553-0652"""
USER,"""Thanks a lot, thats all"""
SYSTEM,"""have a good day!"""
