,fare,from_location,from_station,leaving_date,leaving_time,to_location,to_station,transfers,travelers
0,66,Long Beach,Downtown Station,2019-03-14,06:50,Sacramento,Sacramento Valley Station,1,1
1,67,Long Beach,Downtown Station,2019-03-14,07:00,Sacramento,Sacramento Valley Station,1,1
2,73,Long Beach,Downtown Station,2019-03-14,08:30,Sacramento,Sacramento Valley Station,1,1
3,67,Long Beach,Downtown Station,2019-03-14,10:20,Sacramento,Sacramento Valley Station,1,1
4,64,Long Beach,Downtown Station,2019-03-14,10:30,Sacramento,Sacramento Valley Station,1,1
5,59,Long Beach,Downtown Station,2019-03-14,10:40,Sacramento,Sacramento Valley Station,1,1
6,53,Long Beach,Downtown Station,2019-03-14,13:40,Sacramento,Sacramento Valley Station,1,1
7,52,Long Beach,Downtown Station,2019-03-14,13:50,Sacramento,Sacramento Valley Station,1,1
8,51,Long Beach,Downtown Station,2019-03-14,15:20,Sacramento,Sacramento Valley Station,1,1
9,24,San Diego,Santa Fe Depot,2019-03-05,08:20,Long Beach,Downtown Station,0,1
10,27,San Diego,Santa Fe Depot,2019-03-05,10:20,Long Beach,Downtown Station,0,1
11,25,San Diego,Santa Fe Depot,2019-03-05,12:00,Long Beach,Downtown Station,0,1
12,23,San Diego,Santa Fe Depot,2019-03-05,13:40,Long Beach,Downtown Station,0,1
13,22,San Diego,Santa Fe Depot,2019-03-05,14:00,Long Beach,Downtown Station,0,1
14,26,San Diego,Santa Fe Depot,2019-03-05,15:10,Long Beach,Downtown Station,0,1
15,23,San Diego,Santa Fe Depot,2019-03-05,15:50,Long Beach,Downtown Station,0,1
16,24,San Diego,Santa Fe Depot,2019-03-05,17:10,Long Beach,Downtown Station,0,1
17,24,San Diego,Santa Fe Depot,2019-03-05,17:40,Long Beach,Downtown Station,0,1
18,26,San Diego,Santa Fe Depot,2019-03-05,19:00,Long Beach,Downtown Station,0,1
19,28,Los Angeles,Union Station,2019-03-02,07:40,San Diego,Santa Fe Depot,0,1
20,28,Los Angeles,Union Station,2019-03-02,07:50,San Diego,Santa Fe Depot,0,1
21,27,Los Angeles,Union Station,2019-03-02,09:20,San Diego,Santa Fe Depot,0,1
22,23,Los Angeles,Union Station,2019-03-02,10:50,San Diego,Santa Fe Depot,0,1
23,26,Los Angeles,Union Station,2019-03-02,11:20,San Diego,Santa Fe Depot,0,1
24,24,Los Angeles,Union Station,2019-03-02,14:20,San Diego,Santa Fe Depot,0,1
25,28,Los Angeles,Union Station,2019-03-02,15:00,San Diego,Santa Fe Depot,0,1
26,23,Los Angeles,Union Station,2019-03-02,16:40,San Diego,Santa Fe Depot,0,1
27,28,Los Angeles,Union Station,2019-03-02,16:50,San Diego,Santa Fe Depot,0,1
28,27,Los Angeles,Union Station,2019-03-02,18:10,San Diego,Santa Fe Depot,0,1
29,50,San Francisco,Salesforce Transit Center,2019-03-01,07:00,Los Angeles,Union Station,0,1
30,41,San Francisco,Salesforce Transit Center,2019-03-01,07:40,Los Angeles,Union Station,0,1
31,41,San Francisco,Salesforce Transit Center,2019-03-01,08:40,Los Angeles,Union Station,0,1
32,47,San Francisco,Salesforce Transit Center,2019-03-01,08:50,Los Angeles,Union Station,0,1
33,44,San Francisco,Salesforce Transit Center,2019-03-01,10:40,Los Angeles,Union Station,0,1
34,52,San Francisco,Salesforce Transit Center,2019-03-01,11:10,Los Angeles,Union Station,0,1
