,approximate_ride_duration,destination,number_of_riders,ride_fare,shared_ride
0,19,3090 Olsen Drive,1,13.43,True
1,15,Skates On The Bay,1,16.60,True
2,12,168 South Murphy Avenue,3,18.86,True
3,13,Mariscos El Patron,4,15.36,True
4,18,3515 20th Street A,1,11.76,True
5,9,1118 East Pike Street,1,14.50,True
6,11,379 Gellert Boulevard,1,6.10,True
7,7,1265 Monument Boulevard,1,13.17,True
8,29,1881 Contra Costa Boulevard,2,21.86,True
9,8,4300 Great America Parkway #156,2,12.40,True
10,15,King Chuan,4,32.36,True
11,7,1450 Creekside Drive,1,11.21,True
12,8,2055 Fox Way,2,16.45,True
13,28,Amoura,1,14.39,True
14,30,2508 Santa Clara Avenue,1,8.64,True
15,28,1422 Southwest 11th Avenue,1,7.84,True
16,21,Pasta Prego,2,16.25,True
17,30,54 37th Avenue,1,10.06,True
18,19,K&l Bistro,1,9.58,True
19,7,42808 Christy Street #208,1,10.83,True
20,24,334 California Avenue,3,18.29,True
21,22,Vin Santo,1,16.94,True
22,10,Jalisco's Restaurant,3,16.09,True
23,12,Caffe California,2,18.53,True
24,28,3339 Walnut Avenue,1,15.20,True
25,27,800 Pollard Road bldg a,2,15.87,True
26,8,Runyon Canyon Park,2,18.41,True
27,27,520 Van Buren Avenue,3,20.20,True
28,28,Galway Terrace Apartments,1,15.40,True
29,23,Las Casas De San Pedro Apartments,1,12.62,True
30,30,6800 Palm Avenue,1,9.48,True
31,7,The Reel Fish Shop & Grill,1,15.32,True
32,13,National Science Centre,1,10.57,True
33,27,951 Pomona Avenue,1,16.13,True
34,19,Arbol Verde Apartments,1,9.18,True
35,28,Royal Geographical Society,1,12.92,True
36,14,2100 Webster Street Suite 411,3,22.79,True
37,17,2042 University Avenue,2,17.34,True
38,10,Ume Sushi Japanese Restaurant,2,18.12,True
39,31,698 Post Street,1,8.30,True
40,17,Museo del Caracol,3,22.19,True
41,23,5251 Martinelli Way,2,17.88,True
42,26,769 Center Boulevard #124,3,25.88,True
43,24,Chilpancingo Vista Apartments,1,14.99,True
44,18,560 Waverley Street,1,9.69,True
45,10,3136 Contra Loma Boulevard,2,9.14,True
46,7,Sons Of Liberty Alehouse,3,13.75,True
47,24,211 Quarry Road #107,1,8.20,True
48,15,605 Cowper Street,1,12.26,True
49,22,20700 Lake Chabot Road,2,13.89,True
50,10,1512 Locust Street,1,7.38,True
51,11,22 Belden Place,2,14.81,True
52,11,BAM Howard Gilman Opera House,1,10.37,True
53,19,630 Park Court,2,18.95,True
54,23,2100 Monument Boulevard #8,3,16.54,True
55,17,Pelayo's Mexican Food,2,23.86,True
56,30,Woodcreek,2,19.59,True
57,16,St. Vincent Tavern And Wine Merchant,1,10.15,True
58,25,4342 California Street,2,23.15,True
59,21,400 Moffett Boulevard,1,10.86,True
60,32,Kitson Road,4,13.12,True
61,23,415 Center Street,1,17.67,True
62,18,3630 Hillcap Avenue,4,20.16,True
63,15,825 Middlefield Road,2,10.07,True
64,10,3630 Balboa Street,1,8.80,True
65,12,1875 South Bascom Avenue,1,6.10,True
66,8,949 El Camino Real,2,25.19,True
67,20,3290 Sacramento Street,1,7.38,True
68,23,2317 Central Avenue,2,13.24,True
69,13,32100 Union Landing Boulevard,4,34.16,True
70,20,750 Tennant Station,2,21.71,True
71,7,2340 Chestnut Street,3,16.23,True
72,23,7233 Healdsburg Avenue,1,6.18,True
73,21,1500 North Shoreline Boulevard,1,15.91,True
74,16,2306 Almaden Road,2,16.08,True
75,29,4451,2,22.53,True
76,18,200 C Street,2,8.56,True
77,28,14480 Big Basin Way,1,9.00,True
78,19,The Drawing Center,3,30.87,True
79,20,750 Tennant Station,1,10.98,True
80,7,5614 Bay Street Suite 220,2,18.34,True
81,15,6000 Bollinger Canyon Road Suite 2300,2,14.51,True
82,15,601 Van Ness Avenue,2,20.38,True
83,24,1188 El Camino Real 4th Floor,2,15.98,True
84,29,400 Newpark Mall,1,16.59,True
85,30,470 49th Street B,1,14.33,True
86,18,500 Larkspur Landing Circle,2,19.25,True
87,11,700 El Paseo de Saratoga,2,24.59,True
