,car_name,car_type,city,end_date,pickup_location,pickup_time,price_per_day,start_date,add_insurance
0,Buick Regal Sportback,Sedan,Chicago,2019-03-07,Chicago Union Station,15:30,32.00,2019-03-01,
1,Lexus GS,Sedan,Chicago,2019-03-07,O'Hare International Airport,15:30,27.00,2019-03-01,
2,Skoda Octavia,Sedan,Chicago,2019-03-07,Chicago Union Station,15:30,25.00,2019-03-01,
3,Audi A8,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,30.00,2019-03-12,
4,Buick Regal Sportback,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,34.00,2019-03-12,
5,Subaru Impreza,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,37.00,2019-03-12,
6,Volvo S90,Sedan,San Diego,2019-03-14,SAN International Airport,15:00,40.00,2019-03-12,
7,Buick Regal Sportback,Sedan,Portland,2019-03-10,PDX International Airport,09:30,27.00,2019-03-08,
8,Dodge Charger,Sedan,Portland,2019-03-10,PDX International Airport,09:30,36.00,2019-03-08,
9,GMC Terrain,SUV,Portland,2019-03-10,PDX International Airport,09:30,42.00,2019-03-08,
10,Jaguar F-Pace,SUV,Portland,2019-03-10,PDX International Airport,09:30,38.00,2019-03-08,
11,Kia Ceed,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,30.00,2019-03-08,
12,Nissan Qashqai,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,31.00,2019-03-08,
13,SEAT Cordoba,Sedan,Portland,2019-03-10,PDX International Airport,09:30,35.00,2019-03-08,
14,SEAT Leon,Hatchback,Portland,2019-03-10,PDX International Airport,09:30,25.00,2019-03-08,
15,Subaru Impreza,Sedan,Portland,2019-03-10,PDX International Airport,09:30,22.00,2019-03-08,
16,Dacia Duster,SUV,Portland,2019-03-10,Union Station,10:00,37.00,2019-03-08,
17,Buick Regal Sportback,Sedan,Philadelphia,2019-03-14,PHL International Airport,17:00,28.00,2019-03-13,
18,Citroen C5,SUV,Philadelphia,2019-03-14,PHL International Airport,17:00,47.00,2019-03-13,
19,Dodge Charger,Sedan,Philadelphia,2019-03-14,Intercity Terminal,17:00,34.00,2019-03-13,
20,Fiat Panda,Hatchback,Philadelphia,2019-03-14,Intercity Terminal,17:00,24.00,2019-03-13,
21,GMC Terrain,SUV,Philadelphia,2019-03-14,PHL International Airport,17:00,45.00,2019-03-13,
22,Hyundai Ioniq,Sedan,Philadelphia,2019-03-14,30th Street Station,17:00,25.00,2019-03-13,
23,Kia Ceed,Hatchback,Philadelphia,2019-03-14,PHL International Airport,17:00,27.00,2019-03-13,
24,Lexus GS,Sedan,Philadelphia,2019-03-14,30th Street Station,17:00,27.00,2019-03-13,
25,Mitsubishi Outlander,SUV,Philadelphia,2019-03-14,Intercity Terminal,17:00,44.00,2019-03-13,
26,Renault Clio,Hatchback,Philadelphia,2019-03-14,PHL International Airport,17:00,30.00,2019-03-13,
27,Audi A8,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,36.00,2019-03-09,
28,Citroen C5,SUV,Paris,2019-03-14,Orly International Airport,13:00,40.00,2019-03-09,
29,Dacia Duster,SUV,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,46.00,2019-03-09,
30,Hyundai Ioniq,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,30.00,2019-03-09,
31,Kia Ceed,Hatchback,Paris,2019-03-14,Orly International Airport,13:00,32.00,2019-03-09,
32,Mazda CX-5,SUV,Paris,2019-03-14,Orly International Airport,13:00,45.00,2019-03-09,
33,Mitsubishi Outlander,SUV,Paris,2019-03-14,Orly International Airport,13:00,39.00,2019-03-09,
34,Peugeot 208,Hatchback,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,25.00,2019-03-09,
35,SEAT Cordoba,Sedan,Paris,2019-03-14,Charles de Gaulle International Airport,13:00,34.00,2019-03-09,
36,SEAT Leon,Hatchback,Paris,2019-03-14,Orly International Airport,13:00,25.00,2019-03-09,
37,Fiat Panda,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,28.00,2019-03-03,
38,Kia Ceed,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,30.00,2019-03-03,
39,SEAT Leon,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,33.00,2019-03-03,
40,Vauxhaull Astra,Hatchback,Rio de Janeiro,2019-03-06,Galeao International Airport,14:00,33.00,2019-03-03,
41,Audi A8,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,30.00,2019-03-06,
42,Buick Regal Sportback,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,32.00,2019-03-06,
43,Dodge Charger,Sedan,Los Angeles,2019-03-09,Union Station,15:00,27.00,2019-03-06,
44,Fiat Panda,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,29.00,2019-03-06,
45,GMC Terrain,SUV,Los Angeles,2019-03-09,LAX International Airport,15:00,44.00,2019-03-06,
46,Hyundai Ioniq,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,27.00,2019-03-06,
47,Kia Ceed,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,26.00,2019-03-06,
48,Lexus GS,Sedan,Los Angeles,2019-03-09,LAX International Airport,15:00,35.00,2019-03-06,
49,Mazda 3,Hatchback,Los Angeles,2019-03-09,LAX International Airport,15:00,26.00,2019-03-06,
50,Mitsubishi Outlander,SUV,Los Angeles,2019-03-09,Union Station,15:00,39.00,2019-03-06,
51,Audi A8,Sedan,Los Angeles,2019-03-07,Union Station,15:30,33.00,2019-03-01,
52,Buick Regal Sportback,Sedan,Los Angeles,2019-03-07,LAX International Airport,15:30,33.00,2019-03-01,
53,Fiat Panda,Hatchback,Los Angeles,2019-03-07,LAX International Airport,15:30,29.00,2019-03-01,
