,album,artist,genre,track,year,device
0,Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,
1,Firestone,Kygo,Downtempo,Firestone,2014,
2,Owna Lane,Tee Jay,Reggae,Owna Lane,2019,
3,Outsider,Three Days Grace,Rock,Right Left Wrong,2018,
4,Sad,Matthew David Morris,Pop,Sad,2019,
5,Monsters,Katie Sky,Folk,Monsters,2014,
6,Russia,Nav Sandhu,Pop,Russia,2019,
7,Lifers,Cody Jinks,Country,Must Be The Whiskey,2018,
8,Girl Power,Haschak Sisters,Pop,Girl Power,2018,
9,Up,Sena Kana,Pop,Up,2019,
10,Ores Aixmis,Malou Kyriakopoulou,Pop,Nixta Ginontai Ta Thavmata,2019,Living room
11,Younger Now,Miley Cyrus,Pop,Malibu,2017,
12,Hozier,Hozier,Blues,Someone New,2014,
13,Fall,Davido,Pop,Fall,2017,
14,Bloom,Troye Sivan,Pop,Bloom,2018,
15,Everyday Is Christmas,Sia,Holiday,Snowman,2017,
16,The Great War,Sabaton,Metal,Great War,2019,
17,Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,
18,Pong Dance,Vigiland,Pop,Pong Dance,2016,
19,Gravity,Jason Chen,Pop,Best Friend,2011,
20,Undefined,Simply Three,Rock,Rain,2017,
21,Younger Now,Miley Cyrus,Pop,Malibu,2017,Living room
22,Crash My Party,Luke Bryan,Country,Roller Coaster,2013,
23,Lindsey Stirling,Lindsey Stirling,Pop,Crystallize,2012,
24,Fight Song,Rachel Platten,Pop,Fight Song,2015,
25,Silly Walks Discotheque Presents Brighter Days Riddim,Silly Walks Movement,Reggae,Soul Provider,2013,
26,Charice,Jake Zyrus,Pop,Pyramid,2010,
27,Adobe Sessions,Cody Jinks,Country,Cast No Stones,2015,
28,Black Widow,In This Moment,Metalcore,Sick Like Me,2014,
29,Saula,Lava Lava,Pop,Saula,2019,
30,Dear Society,Madison Beer,Pop,Dear Society,2019,
31,The Git Up,Blanco Brown,Country,The Git Up,2019,
32,Crash My Party,Luke Bryan,Country,Roller Coaster,2013,Living room
33,Sucker Punch,Sigrid,Pop,Strangers,2017,
34,If I Know Me,Morgan Wallen,Country,The Way I Talk,2016,
35,I Will Never Let You Down,Rita Ora,Africa,I Will Never Let You Down,2014,
36,The Unforgiving,Within Temptation,Metal,Faster,2010,
37,Sex Rock,Alex Angel,Rock,Easy World,2018,
38,I Want You,Daniel Skye,Pop,I Want You,2018,
39,Old Dominion,Old Dominion,Country,Make It Sweet,2018,
40,From The Outside,Hey Violet,Pop,Guys My Age,2016,
41,Not Your Barbie Girl,Ava Max,Pop,Not Your Barbie Girl,2018,
42,Sucker Punch,Sigrid,Pop,Strangers,2017,Living room
43,Double Vision,Prince Royce,Pop,Back It Up,2015,
44,Inna,Inna,Pop,Bad Boys,2015,
45,True Colors,Zedd,House,Beautiful Now,2015,
46,This Is Acting,Sia,Pop,Bird Set Free,2015,
47,Get Weird,Little Mix,Pop,Black Magic,2015,
48,The Bright Side,Lenka,Pop,Blue Skies,2015,
49,Stories,Avicii,Pop,Broken Arrows,2015,
50,This Is Acting,Sia,Pop,Cheap Thrills,2015,
51,Pentatonix,Pentatonix,Pop,Cheerleader,2015,
52,Double Vision,Prince Royce,Pop,Back It Up,2015,Kitchen
53,The New Classic,Iggy Azalea,Pop,Black Widow,2014,
54,Home State,Jordan Davis,Country,Take It From Me,2017,
55,Starting Over,Niykee Heaton,Pop,Mascara,2018,
56,Back To Life,Rascal Flatts,Country,Back To Life,2018,
57,Narrated For You,Alec Benjamin,Pop,If I Killed Someone For You,2018,
58,Sinnga,Vijay Prakash,South Asia,Shaane Top Agavle,2019,
59,Welcome Reality,Nero,Dubstep,Promises,2011,
60,Me And My Broken Heart,Push Baby,Pop,Me And My Broken Heart,2014,
61,The New Classic,Iggy Azalea,Pop,Black Widow,2014,Living room
62,Sweet Talker,Jessie J,Pop,Masterpiece,2014,
63,Tetema,Rayvanny,Pop,Tetema,2019,
64,Your Name,Radwimps,Rock,Dream Lantern,2016,
65,My Everything,Ariana Grande,Pop,One Last Time,2014,
66,Essentials,Major Lazer,Moombahton,Light It Up,2015,
67,My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,2010,
68,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,2016,
69,Nine Track Mind,Charlie Puth,Pop,Dangerously,2015,
70,Already Gone,Matthew David Morris,Pop,Already Gone,2018,
71,Chapati,Undercover,Trance,Chapati,2014,
72,Sweet Talker,Jessie J,Pop,Masterpiece,2014,Living room
73,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,
74,Always In Between,Jess Glynne,Pop,Thursday,2018,
75,Thoughts,Sasha Sloan,Pop,Thoughts,2019,
76,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,2018,
77,Life Is Unfair,Matthew David Morris,Pop,Life Is Unfair,2017,
78,Icarus Falls,Zayn Malik,Pop,Still Got Time,2017,
79,Sad Forever,Lauv,Pop,Sad Forever,2019,
80,Speak Now,Taylor Swift,Pop,Mine,2010,
81,Bismarck,Sabaton,Metal,Bismarck,2019,
82,Jade Eagleson,Jade Eagleson,Country,Got Your Name On It,2018,
83,Voicenotes,Charlie Puth,Pop,The Way I Am,2018,Patio
84,Holo,Limbo,Pop,Airplane Mode,2017,
