,alarm_name,alarm_time,new_alarm_name,new_alarm_time
0,Wake up,07:00,,
1,Pick up kids,16:30,,
2,,,New alarm,17:15
3,Catch bus,11:00,,
4,,,Cleaning,17:15
5,Wake up,06:30,,
6,Get up,09:00,,
7,Dentist,16:00,,
8,,,New alarm,17:00
9,Wake up,08:30,,
10,Shuttle to work,10:30,,
11,,,New alarm,16:30
12,Wake up,09:00,,
13,,,Leave for home,17:15
14,Wake up,06:00,,
15,,,Cleaning,16:00
16,,,Grocery run,15:00
17,,,Leave for home,16:30
18,Wake up,08:00,,
19,,,Cleaning,15:30
20,,,Grocery run,17:00
21,Shuttle to work,09:00,,
22,,,Cleaning,16:15
23,,,Phone home,15:00
24,Wake up,07:30,,
25,,,New alarm,15:30
26,Shuttle to work,08:30,,
27,,,New alarm,15:45
28,,,Music practice,16:15
29,,,Cooking,15:15
30,Pick up kids,17:00,,
31,,,New alarm,16:15
32,,,Music practice,17:15
33,Shuttle to work,09:30,,
34,,,Cleaning,15:45
35,,,New alarm,15:00
36,,,Cooking,15:00
37,Pick up kids,15:00,,
38,Shuttle to work,08:00,,
39,,,Phone home,16:30
40,,,Leave for home,15:30
41,,,New alarm,16:00
42,Errands,15:30,,
43,,,Music practice,16:30
44,Call,11:00,,
45,,,Music practice,16:45
46,,,Cooking,16:45
47,,,Music practice,15:30
48,,,Leave for home,15:15
49,Workout,08:00,,
50,,,Cleaning,16:30
51,Shuttle to work,10:00,,
52,,,Grocery run,16:15
53,Workout,09:30,,
54,,,Phone home,15:30
55,,,Music practice,15:00
56,,,Phone home,16:45
57,Workout,08:30,,
58,,,Grocery run,16:45
59,,,Cooking,16:00
60,,,Cooking,16:15
61,,,Phone home,15:15
62,,,Phone home,16:00
63,,,New alarm,15:15
64,,,New alarm,16:45
65,,,Grocery run,16:30
66,,,Leave for home,16:15
67,,,Grocery run,15:45
68,,,Grocery run,17:15
69,,,Cleaning,15:15
70,,,Music practice,17:00
71,,,Leave for home,17:00
72,,,Leave for home,16:45
73,Pick up kids,16:00,,
74,Event,16:00,,
75,Errands,17:00,,
76,Gym,10:00,,
77,Commute,10:30,,
78,Busy,16:00,,
79,Piano time,16:00,,
80,Call,09:00,,
81,Get up,08:00,,
82,Meeting,16:30,,
83,Get up,07:30,,
84,Piano time,17:00,,
85,Catch bus,10:00,,
86,Catch bus,09:00,,
87,Errands,16:00,,
88,Shopping,16:00,,
89,Piano time,15:30,,
90,Jogging,08:00,,
91,Errands,15:00,,
92,Exercise,09:30,,
93,Shopping,15:30,,
94,Breakfast,10:00,,
95,Piano time,16:30,,
96,Call,08:30,,
97,Catch train,09:30,,
98,Call,08:00,,
99,Breakfast,08:00,,
100,Gym,08:30,,
101,Breakfast,09:30,,
102,Coffee,10:00,,
103,Badminton,08:30,,
104,Commute,08:00,,
105,Get up,07:00,,
106,Study,11:00,,
107,Gym,07:00,,
108,Catch bus,10:30,,
109,,,Music practice,15:15
110,Jogging,09:00,,
111,Class,10:00,,
112,Class,10:30,,
113,,,Cooking,15:45
114,,,Cooking,15:30
115,Running,10:00,,
116,,,Leave for home,16:00
117,Workout,09:00,,
118,Event,16:30,,
119,Pick up kids,15:30,,
120,Breakfast,09:00,,
121,Event,17:00,,
122,,,Leave for home,15:00
123,Get up,06:00,,
124,Exercise,08:00,,
125,Exercise,10:00,,
126,,,Cooking,16:30
127,Meeting,15:00,,
128,Study,08:30,,
129,Shopping,15:00,,
130,Exercise,07:00,,
131,Piano time,15:00,,
132,Get up,06:30,,
133,Errands,16:30,,
134,,,Cleaning,17:00
135,Busy,15:30,,
136,,,Phone home,15:45
137,,,Cleaning,16:45
138,Catch bus,08:00,,
139,Gym,07:30,,
140,Busy,16:30,,
141,Call,10:00,,
142,Paper,10:30,,
143,Study,09:30,,
144,Get up,08:30,,
145,,,Phone home,17:00
146,Dentist,15:30,,
147,Call,10:30,,
148,Shopping,16:30,,
149,,,Music practice,15:45
150,Jogging,07:30,,
151,,,Leave for home,15:45
152,Meeting,17:00,,
153,Coffee,07:00,,
154,Busy,17:00,,
155,Jogging,07:00,,
156,Catch train,10:00,,
157,Dentist,16:30,,
158,Paper,09:30,,
159,Jogging,08:30,,
160,Badminton,09:00,,
161,Dentist,15:00,,
162,Gym,09:00,,
163,Running,07:00,,
164,Badminton,07:00,,
165,Commute,10:00,,
166,Event,15:00,,
167,Coffee,08:00,,
168,Shopping,17:00,,
169,Running,07:30,,
170,Paper,10:00,,
171,Catch train,09:00,,
172,Study,10:00,,
173,Busy,15:00,,
174,Coffee,08:30,,
175,Catch bus,09:30,,
176,Badminton,10:00,,
177,Running,08:00,,
178,Breakfast,07:00,,
